month,BMG
2010-01-31,-0.01566906
2010-02-28,0.01525705
2010-03-31,0.00546387
2010-04-30,0.00245352
2010-05-31,0.00870209
2010-06-30,-0.01374696
2010-07-31,0.02117105
2010-08-31,0.01973842
2010-09-30,-0.02028943
2010-10-31,0.00701245
2010-11-30,0.01003428
2010-12-31,0.00514051
2011-01-31,-0.00717104
2011-02-28,0.02125047
2011-03-31,0.00747978
2011-04-30,-0.01586054
2011-05-31,-0.01027931
2011-06-30,-0.00973755
2011-07-31,0.0136698
2011-08-31,0.0101134
2011-09-30,-0.01726656
2011-10-31,0.03520898
2011-11-30,0.01850684
2011-12-31,-0.00811064
2012-01-31,-0.00308298
2012-02-29,-0.01399135
2012-03-31,-0.04110157
2012-04-30,0.00607373
2012-05-31,0.00030144
2012-06-30,-0.00289733
2012-07-31,0.0116584
2012-08-31,-0.01155358
2012-09-30,0.01043508
2012-10-31,0.01044263
2012-11-30,-0.02041108
2012-12-31,0.00228329
2013-01-31,-0.01457162
2013-02-28,-0.0147719
2013-03-31,-0.01377579
2013-04-30,-0.02347253
2013-05-31,-0.02268766
2013-06-30,-0.01408542
2013-07-31,-0.00882208
2013-08-31,0.0061223
2013-09-30,-0.01205298
2013-10-31,0.00411188
2013-11-30,-0.01988376
2013-12-31,-0.00229291
2014-01-31,-0.00139639
2014-02-28,0.00585472
2014-03-31,0.01272308
2014-04-30,0.00865339
2014-05-31,-0.00022276
2014-06-30,0.01568406
2014-07-31,-0.00418541
2014-08-31,-0.00039932
2014-09-30,-0.0233734
2014-10-31,-0.00805797
2014-11-30,-0.03478676
2014-12-31,0.00116915
2015-01-31,-0.00373897
2015-02-28,-0.01220789
2015-03-31,-0.02042543
2015-04-30,0.02585982
2015-05-31,-0.01784773
2015-06-30,-0.0146302
2015-07-31,-0.03448833
2015-08-31,-0.01363417
2015-09-30,-0.00114473
2015-10-31,0.00405128
2015-11-30,-0.02255602
2015-12-31,-0.01485933
2016-01-31,0.00986568
2016-02-29,0.02934231
2016-03-31,0.02170689
2016-04-30,0.04963451
2016-05-31,-0.0239923
2016-06-30,0.04006604
2016-07-31,-0.01529608
2016-08-31,-0.01132633
2016-09-30,0.01088455
2016-10-31,0.01538929
2016-11-30,0.02007778
2016-12-31,0.0040142
2017-01-31,0.01518304
2017-02-28,-0.01716537
2017-03-31,-0.0189423
2017-04-30,-0.01413846
2017-05-31,-0.02354393
2017-06-30,0.00103155
2017-07-31,0.01637476
2017-08-31,0.01011441
2017-09-30,-0.01023609
2017-10-31,0.0048278
2017-11-30,0.00689393
2017-12-31,0.03027531
2018-01-31,-0.01240412
2018-02-28,-0.0041535
2018-03-31,0.01189832
2018-04-30,0.01157324
2018-05-31,0.01265801
2018-06-30,-0.00272187
2018-07-31,-0.00329946
2018-08-31,-0.01155761
2018-09-30,0.00818357
2018-10-31,-0.00960501
2018-11-30,-0.00254954
2018-12-31,0.01920714
2019-01-31,0.00157909
2019-02-28,-0.06223069
2019-03-31,0.00430178
2019-04-30,-0.03693426
2019-05-31,-0.02554202
2019-06-30,0.03407319
2019-07-31,0.0009802
2019-08-31,0.01548579
2019-09-30,0.04905213
2019-10-31,0.03361337
2019-11-30,-0.04077034
2019-12-31,0.01092213
