This file was created using the 202111 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
199007    ,0.77    ,0.53   ,-0.36    ,0.68
199008  ,-10.77   ,-1.51    ,0.48    ,0.66
199009  ,-11.89    ,1.32    ,0.81    ,0.60
199010    ,9.35   ,-7.58   ,-4.48    ,0.68
199011   ,-3.72    ,1.44    ,1.13    ,0.57
199012    ,1.11   ,-0.74   ,-1.48    ,0.60
199101    ,2.49   ,-1.87    ,0.47    ,0.52
199102    ,9.03    ,2.46    ,0.03    ,0.48
199103   ,-2.29    ,3.28   ,-1.05    ,0.44
199104    ,0.54    ,0.01    ,0.46    ,0.53
199105    ,0.73   ,-0.54    ,0.31    ,0.47
199106   ,-6.07    ,1.32    ,1.11    ,0.42
199107    ,3.47   ,-1.79   ,-0.38    ,0.49
199108   ,-1.29    ,0.36   ,-0.57    ,0.46
199109    ,2.85    ,0.49   ,-0.09    ,0.46
199110    ,1.36   ,-0.25   ,-1.42    ,0.42
199111   ,-5.09    ,0.84   ,-1.35    ,0.39
199112    ,6.32   ,-2.02   ,-2.72    ,0.38
199201   ,-2.18    ,3.88    ,3.08    ,0.34
199202   ,-1.89    ,2.29    ,1.88    ,0.28
199203   ,-5.48    ,0.76    ,2.54    ,0.34
199204   ,-0.14   ,-1.96    ,3.02    ,0.32
199205    ,4.06    ,0.17    ,0.67    ,0.28
199206   ,-3.70    ,0.33    ,1.06    ,0.32
199207   ,-0.59   ,-2.23   ,-1.36    ,0.31
199208    ,2.44   ,-2.70   ,-1.62    ,0.26
199209   ,-1.38   ,-0.09   ,-0.97    ,0.26
199210   ,-2.99   ,-0.33   ,-0.50    ,0.23
199211    ,1.82    ,0.00   ,-1.79    ,0.23
199212    ,0.76    ,1.33    ,0.98    ,0.28
199301    ,0.31    ,1.59    ,3.26    ,0.23
199302    ,1.89   ,-1.27    ,3.54    ,0.22
199303    ,6.67    ,0.35    ,1.85    ,0.25
199304    ,4.30    ,0.59    ,2.90    ,0.24
199305    ,3.12    ,4.35   ,-1.50    ,0.22
199306   ,-2.11   ,-0.90    ,0.42    ,0.25
199307    ,2.25   ,-1.54    ,1.36    ,0.24
199308    ,4.37    ,0.86    ,1.13    ,0.25
199309   ,-1.95    ,1.82    ,0.28    ,0.26
199310    ,1.11   ,-0.33   ,-0.86    ,0.22
199311   ,-6.26    ,1.60   ,-0.11    ,0.25
199312    ,4.03    ,0.23    ,2.23    ,0.23
199401    ,7.26    ,0.27    ,3.17    ,0.25
199402   ,-1.17    ,1.40    ,0.53    ,0.21
199403   ,-3.70    ,0.63    ,1.86    ,0.27
199404    ,2.31   ,-0.17    ,1.24    ,0.27
199405   ,-0.18   ,-1.43    ,1.34    ,0.32
199406    ,0.09   ,-0.70    ,1.28    ,0.31
199407    ,1.11   ,-0.48    ,0.69    ,0.28
