This file was created by CMPT_ME_PRIOR_RETS using the 202111 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
Mom    is the average of the returns on two (big and small) high prior return portfolios
minus the average of the returns on two low prior return portfolios.  The portfolios
are constructed monthly.  Big means a firm is above the median market cap on the NYSE
at the end of the previous month; small firms are below the median NYSE market cap.
Prior return is measured from month -12 to - 2.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,Mom   
192701,   0.36
192702,  -2.14
192703,   3.61
192704,   4.30
192705,   3.00
192706,   0.55
192707,   4.31
192708,   1.36
192709,   1.98
192710,  -0.87
192711,  -0.66
192712,   3.21
192801,  -0.52
192802,  -1.09
192803,   4.78
192804,  -4.41
192805,   3.02
192806,   2.04
192807,   2.79
192808,   3.54
192809,   3.49
192810,   5.12
192811,   2.01
192812,   1.54
192901,   2.45
192902,   3.05
192903,  -0.64
192904,   1.85
192905,  -2.00
192906,   8.71
192907,   2.84
192908,   4.70
192909,   2.97
192910,   4.10
192911,  -2.39
192912,   5.19
193001,  -5.24
193002,   0.62
193003,  -4.42
193004,   3.98
193005,   0.05
193006,   6.62
193007,  -2.11
193008,   3.95
193009,  11.48
193010,   6.86
193011,  -1.46
193012,  13.32
193101, -11.07
193102, -14.47
193103,   9.46
193104,  11.40
193105,   9.26
193106, -17.88
193107,   8.20
193108,  -3.50
193109,  10.15
193110,   3.27
193111,   7.54
193112,  14.16
193201, -10.87
193202,   1.59
193203,   9.92
193204,   6.97
193205,  12.28
193206,   1.88
193207, -45.02
193208, -52.05
193209,   2.36
193210,   4.95
193211,  -1.83
193212,   5.48
193301,  -1.60
193302,   4.26
193303,   2.48
193304, -16.51
193305,  -4.31
193306,   4.00
193307,   0.10
193308,   7.59
193309,   1.58
193310,  -2.21
193311,   6.10
193312,   4.18
193401,  -2.97
193402,  -0.28
193403,  -0.67
193404,  -4.70
193405,  -2.56
193406,  -0.96
193407,   8.71
193408,   2.48
193409,   0.06
193410,   6.90
193411,   3.83
193412,   4.73
193501,   3.72
193502,  13.92
193503,   3.16
193504,  -4.67
193505,  -3.65
193506,   2.35
193507,  -3.75
193508,  -7.17
193509,   8.95
193510,   1.87
193511,  -6.27
193512,   3.78
193601,  -3.33
193602,   2.45
193603,   1.82
193604,  -7.65
193605,   2.47
193606,   0.38
193607,   2.85
193608,   0.65
193609,   1.24
193610,   1.00
193611,   1.97
193612,   2.01
193701,  -1.90
193702,   3.17
193703,   2.70
193704,  -3.71
193705,   0.58
193706,   0.74
193707,  -0.55
193708,  -1.85
193709,  -7.01
193710,  -1.60
193711,  -1.23
193712,   4.67
193801,  -1.61
193802,  -2.91
193803,  15.55
193804,  -8.49
193805,   7.01
193806, -24.79
193807,  -7.01
193808,   3.64
193809,   2.58
193810,  -7.77
193811,   3.07
193812,   2.18
193901,  -3.04
193902,   3.27
193903,  -1.55
193904,   2.56
193905,   3.54
193906,   2.05
193907,  -0.72
193908,   5.95
193909, -31.03
193910,   6.56
193911,  -0.29
193912,   5.38
194001,   1.75
194002,   1.79
194003,  -0.35
194004,   3.25
194005,   2.66
194006,  -2.06
194007,   0.81
194008,  -1.56
194009,  -0.24
194010,  -6.51
194011,   1.28
194012,   3.48
194101,  -4.43
194102,   0.97
194103,   2.44
194104,   3.01
194105,   2.52
194106,  -0.95
194107,  -1.63
194108,   0.12
194109,  -1.65
194110,   4.75
194111,   4.05
194112,   0.25
194201,  -3.57
194202,  -0.75
194203,  -0.33
194204,  -0.71
194205,  -4.71
194206,  -1.32
194207,   0.77
194208,  -0.18
194209,  -0.64
194210,  -4.07
194211,  -0.88
194212,   3.26
194301,  -0.36
194302,  -1.55
194303,   4.85
194304,   6.17
194305,   5.64
194306,  -1.29
194307,  -4.64
194308,   0.88
194309,   1.80
194310,  -0.57
194311,  -4.60
194312,   6.03
194401,   0.98
194402,   0.33
194403,   2.51
194404,   0.55
194405,   1.98
194406,  -5.13
194407,   0.12
194408,   4.66
194409,  -1.06
194410,  -1.34
194411,   1.34
194412,   3.36
194501,   0.02
194502,   3.10
194503,  -3.26
194504,   4.82
194505,   0.11
194506,   4.14
194507,  -2.70
