Date,frequency,factor_name,factor_value
2010/01/31,MONTHLY,Rate,3.73
2010/02/28,MONTHLY,Rate,3.69
2010/03/31,MONTHLY,Rate,3.73
2010/04/30,MONTHLY,Rate,3.85
2010/05/31,MONTHLY,Rate,3.42
2010/06/30,MONTHLY,Rate,3.2
2010/07/31,MONTHLY,Rate,3.01
2010/08/31,MONTHLY,Rate,2.7
2010/09/30,MONTHLY,Rate,2.65
2010/10/31,MONTHLY,Rate,2.54
2010/11/30,MONTHLY,Rate,2.76
2010/12/31,MONTHLY,Rate,3.29
2011/01/31,MONTHLY,Rate,3.39
2011/02/28,MONTHLY,Rate,3.58
2011/03/31,MONTHLY,Rate,3.41
2011/04/30,MONTHLY,Rate,3.46
2011/05/31,MONTHLY,Rate,3.17
2011/06/30,MONTHLY,Rate,3
2011/07/31,MONTHLY,Rate,3
2011/08/31,MONTHLY,Rate,2.3
2011/09/30,MONTHLY,Rate,1.98
2011/10/31,MONTHLY,Rate,2.15
2011/11/30,MONTHLY,Rate,2.01
2011/12/31,MONTHLY,Rate,1.98
2012/01/31,MONTHLY,Rate,1.97
2012/02/29,MONTHLY,Rate,1.97
2012/03/31,MONTHLY,Rate,2.17
2012/04/30,MONTHLY,Rate,2.05
2012/05/31,MONTHLY,Rate,1.8
2012/06/30,MONTHLY,Rate,1.62
2012/07/31,MONTHLY,Rate,1.53
2012/08/31,MONTHLY,Rate,1.68
2012/09/30,MONTHLY,Rate,1.72
2012/10/31,MONTHLY,Rate,1.75
2012/11/30,MONTHLY,Rate,1.65
2012/12/31,MONTHLY,Rate,1.72
2013/01/31,MONTHLY,Rate,1.91
2013/02/28,MONTHLY,Rate,1.98
2013/03/31,MONTHLY,Rate,1.96
2013/04/30,MONTHLY,Rate,1.76
2013/05/31,MONTHLY,Rate,1.93
2013/06/30,MONTHLY,Rate,2.3
2013/07/31,MONTHLY,Rate,2.58
2013/08/31,MONTHLY,Rate,2.74
2013/09/30,MONTHLY,Rate,2.81
2013/10/31,MONTHLY,Rate,2.62
2013/11/30,MONTHLY,Rate,2.72
2013/12/31,MONTHLY,Rate,2.9
2014/01/31,MONTHLY,Rate,2.86
2014/02/28,MONTHLY,Rate,2.71
2014/03/31,MONTHLY,Rate,2.72
2014/04/30,MONTHLY,Rate,2.71
2014/05/31,MONTHLY,Rate,2.56
2014/06/30,MONTHLY,Rate,2.6
2014/07/31,MONTHLY,Rate,2.54
2014/08/31,MONTHLY,Rate,2.42
2014/09/30,MONTHLY,Rate,2.53
2014/10/31,MONTHLY,Rate,2.3
2014/11/30,MONTHLY,Rate,2.33
2014/12/31,MONTHLY,Rate,2.21
2015/01/31,MONTHLY,Rate,1.88
2015/02/28,MONTHLY,Rate,1.98
2015/03/31,MONTHLY,Rate,2.04
2015/04/30,MONTHLY,Rate,1.94
2015/05/31,MONTHLY,Rate,2.2
2015/06/30,MONTHLY,Rate,2.36
2015/07/31,MONTHLY,Rate,2.32
2015/08/31,MONTHLY,Rate,2.17
2015/09/30,MONTHLY,Rate,2.17
2015/10/31,MONTHLY,Rate,2.07
2015/11/30,MONTHLY,Rate,2.26
2015/12/31,MONTHLY,Rate,2.24
2016/01/31,MONTHLY,Rate,2.09
2016/02/29,MONTHLY,Rate,1.78
2016/03/31,MONTHLY,Rate,1.89
2016/04/30,MONTHLY,Rate,1.81
2016/05/31,MONTHLY,Rate,1.81
2016/06/30,MONTHLY,Rate,1.64
2016/07/31,MONTHLY,Rate,1.5
2016/08/31,MONTHLY,Rate,1.56
2016/09/30,MONTHLY,Rate,1.63
2016/10/31,MONTHLY,Rate,1.76
2016/11/30,MONTHLY,Rate,2.14
2016/12/31,MONTHLY,Rate,2.49
2017/01/31,MONTHLY,Rate,2.43
2017/02/28,MONTHLY,Rate,2.42
2017/03/31,MONTHLY,Rate,2.48
2017/04/30,MONTHLY,Rate,2.3
2017/05/31,MONTHLY,Rate,2.3
2017/06/30,MONTHLY,Rate,2.19
2017/07/31,MONTHLY,Rate,2.32
2017/08/31,MONTHLY,Rate,2.21
2017/09/30,MONTHLY,Rate,2.2
2017/10/31,MONTHLY,Rate,2.36
2017/11/30,MONTHLY,Rate,2.35
2017/12/31,MONTHLY,Rate,2.4
2018/01/31,MONTHLY,Rate,2.58
2018/02/28,MONTHLY,Rate,2.86
2018/03/31,MONTHLY,Rate,2.84
2018/04/30,MONTHLY,Rate,2.87
2018/05/31,MONTHLY,Rate,2.98
2018/06/30,MONTHLY,Rate,2.91
2018/07/31,MONTHLY,Rate,2.89
2018/08/31,MONTHLY,Rate,2.89
2018/09/30,MONTHLY,Rate,3
2018/10/31,MONTHLY,Rate,3.15
2018/11/30,MONTHLY,Rate,3.12
2018/12/31,MONTHLY,Rate,2.83
2019/01/31,MONTHLY,Rate,2.71
2019/02/28,MONTHLY,Rate,2.68
2019/03/31,MONTHLY,Rate,2.57
2019/04/30,MONTHLY,Rate,2.53
2019/05/31,MONTHLY,Rate,2.4
2019/06/30,MONTHLY,Rate,2.07
2019/07/31,MONTHLY,Rate,2.06
2019/08/31,MONTHLY,Rate,1.63
2019/09/30,MONTHLY,Rate,1.7
2019/10/31,MONTHLY,Rate,1.71
2019/11/30,MONTHLY,Rate,1.81
2019/12/31,MONTHLY,Rate,1.86
2020/01/31,MONTHLY,Rate,1.76
2020/02/29,MONTHLY,Rate,1.5
2020/03/31,MONTHLY,Rate,0.87
2020/04/30,MONTHLY,Rate,0.66
2020/05/31,MONTHLY,Rate,0.67
2020/06/30,MONTHLY,Rate,0.73
2020/07/31,MONTHLY,Rate,0.62
2020/08/31,MONTHLY,Rate,0.65
2020/09/30,MONTHLY,Rate,0.68
2020/10/31,MONTHLY,Rate,0.79
2020/11/30,MONTHLY,Rate,0.87
2020/12/31,MONTHLY,Rate,0.93
2021/01/31,MONTHLY,Rate,1.08
2021/02/28,MONTHLY,Rate,1.26
2021/03/31,MONTHLY,Rate,1.61
2021/04/30,MONTHLY,Rate,1.64
2021/05/31,MONTHLY,Rate,1.62
2021/06/30,MONTHLY,Rate,1.52
2021/07/31,MONTHLY,Rate,1.32
2021/08/31,MONTHLY,Rate,1.28
2021/09/30,MONTHLY,Rate,1.37
2010/01/31,MONTHLY,Curve,3.62
2010/02/28,MONTHLY,Curve,3.56
2010/03/31,MONTHLY,Curve,3.57
2010/04/30,MONTHLY,Curve,3.65
2010/05/31,MONTHLY,Curve,3.22
2010/06/30,MONTHLY,Curve,3.02
2010/07/31,MONTHLY,Curve,2.83
2010/08/31,MONTHLY,Curve,2.51
2010/09/30,MONTHLY,Curve,2.46
2010/10/31,MONTHLY,Curve,2.35
2010/11/30,MONTHLY,Curve,2.57
2010/12/31,MONTHLY,Curve,3.11
2011/01/31,MONTHLY,Curve,3.22
2011/02/28,MONTHLY,Curve,3.42
2011/03/31,MONTHLY,Curve,3.27
2011/04/30,MONTHLY,Curve,3.36
2011/05/31,MONTHLY,Curve,3.08
2011/06/30,MONTHLY,Curve,2.91
2011/07/31,MONTHLY,Curve,2.93
2011/08/31,MONTHLY,Curve,2.2
2011/09/30,MONTHLY,Curve,1.9
2011/10/31,MONTHLY,Curve,2.08
2011/11/30,MONTHLY,Curve,1.93
2011/12/31,MONTHLY,Curve,1.91
2012/01/31,MONTHLY,Curve,1.89
2012/02/29,MONTHLY,Curve,1.87
2012/03/31,MONTHLY,Curve,2.04
2012/04/30,MONTHLY,Curve,1.91
2012/05/31,MONTHLY,Curve,1.64
2012/06/30,MONTHLY,Curve,1.46
2012/07/31,MONTHLY,Curve,1.37
2012/08/31,MONTHLY,Curve,1.55
2012/09/30,MONTHLY,Curve,1.58
2012/10/31,MONTHLY,Curve,1.59
2012/11/30,MONTHLY,Curve,1.49
2012/12/31,MONTHLY,Curve,1.56
