Date,BMG
2015-02-28,0.0005462951
2015-03-31,-0.001626646
2015-04-30,-0.0120910499
2015-05-31,0.0082401956
2015-06-30,-0.0060209435
2015-07-31,0.0012595053
2015-08-31,-0.0053394853
2015-09-30,0.0099210409
2015-10-31,-0.0072861919
2015-11-30,-0.0001112359
2015-12-31,-0.0113060821
2016-01-31,0.0200414808
2016-02-29,-0.0098495947
2016-03-31,0.0005884099
2016-04-30,0.0024159545
2016-05-31,-0.0016229457
2016-06-30,0.00966521
2016-07-31,-0.0054550048
2016-08-31,-0.0011852035
2016-09-30,-0.0004546083
2016-10-31,0.001762644
2016-11-30,0.0036259988
2016-12-31,0.0010605505
2017-01-31,-0.0041748338
2017-02-28,-0.0049729575
2017-03-31,-0.0036220204
2017-04-30,0.0036991465
2017-05-31,0.00141668
2017-06-30,0.0002259548
2017-07-31,0.0024371378
2017-08-31,0.0027461556
2017-09-30,0.0025288411
2017-10-31,0.0021135621
2017-11-30,0.004492439
2017-12-31,0.0007774736
2018-01-31,-0.0031930104
2018-02-28,-0.0014479739
2018-03-31,-0.0013789345
2018-04-30,0.0033596156
2018-05-31,0.0007021267
2018-06-30,0.0001678483
2018-07-31,0.0033854816
2018-08-31,-0.0018172478
2018-09-30,0.0025002899
2018-10-31,0.0010061492
2018-11-30,0.0008951609
2018-12-31,0.0039640897
2019-01-31,-0.0126383448
2019-02-28,0.0013966532
2019-03-31,0.0011951193
2019-04-30,-0.002081714
2019-05-31,-0.0008732498
2019-06-30,-0.0020492339
2019-07-31,-0.0026904432
2019-08-31,-0.0018389384
2019-09-30,0.001993226
2019-10-31,0.0004684667
2019-11-30,-0.0028149332
2019-12-31,9.93396E-005
2020-01-31,-0.0025844228
2020-02-29,0.0036886968
2020-03-31,-0.0019283712
2020-04-30,-0.0023798848
2020-05-31,-0.0020182015
2020-06-30,0.0012795983
2020-07-31,0.0034168378
2020-08-31,-0.0075026738
2020-09-30,0.0034167273
2020-10-31,0.0026437337
2020-11-30,-0.0098724017
2020-12-31,0.0056979347
2021-01-31,-0.0002388927
2021-02-28,-0.0006590681
2021-03-31,0.0007596624
2021-04-30,-0.0008992937
2021-05-31,-0.0005038877
2021-06-30,0.0016164986
2021-07-31,0.0004068208
2021-08-31,-0.0021360214
2021-09-30,-0.0003406522
2021-10-31,0.0017262421
