Date,BMG
2010-01-31,-0.0195002123
2010-02-28,0.0160488444
2010-03-31,-0.0054341988
2010-04-30,-0.0280719057
2010-05-31,-0.0321853876
2010-06-30,-0.0533951922
2010-07-31,0.0515437814
2010-08-31,-0.0168184611
2010-09-30,-0.0315679461
2010-10-31,0.0311424491
2010-11-30,-0.0051854137
2010-12-31,0.0295310637
2011-01-31,0.0512645823
2011-02-28,0.0029015049
2011-03-31,0.0009485828
2011-04-30,-0.0035221396
2011-05-31,-0.0210465493
2011-06-30,0.001145757
2011-07-31,0.004893955
2011-08-31,-0.0183545008
2011-09-30,-0.0638553906
2011-10-31,0.0616284195
2011-11-30,0.0022757717
2011-12-31,-0.0168560905
2012-01-31,0.0234405662
2012-02-29,-0.0258882861
2012-03-31,0.0061671964
2012-04-30,-0.0108579695
2012-05-31,-0.0198681169
2012-06-30,0.0101381066
2012-07-31,-0.0084755477
2012-08-31,0.0039950525
2012-09-30,-0.01781393
2012-10-31,-0.0232124366
2012-11-30,-0.0006505314
2012-12-31,0.0111205736
2013-01-31,0.0409003157
2013-02-28,-0.0076034245
2013-03-31,0.0132155668
2013-04-30,0.027139423
2013-05-31,0.0041452857
2013-06-30,0.0067384851
2013-07-31,0.0182308664
2013-08-31,-0.0090699471
2013-09-30,0.0058929416
2013-10-31,0.0126929429
2013-11-30,0.0118320358
2013-12-31,0.0192273101
2014-01-31,-0.0309731933
2014-02-28,0.0130436235
2014-03-31,0.0073840115
2014-04-30,0.0044844175
2014-05-31,0.0264851918
2014-06-30,-0.0017136927
2014-07-31,-0.0204089273
2014-08-31,0.0302579579
2014-09-30,0.0288198143
2014-10-31,0.0195208226
2014-11-30,0.0008407327
2014-12-31,-0.0048980084
2015-01-31,-0.0105418123
2015-02-28,-0.0047384248
2015-03-31,0.0074586286
2015-04-30,-0.0164644541
2015-05-31,0.0144161417
2015-06-30,0.0201560207
2015-07-31,0.0025000404
2015-08-31,0.0044247835
2015-09-30,-0.0168406942
2015-10-31,0.0353515874
2015-11-30,0.0425264844
2015-12-31,-0.0083085054
2016-01-31,-0.0220951143
2016-02-29,-0.0033169985
2016-03-31,-0.0114994622
2016-04-30,-0.0217289586
2016-05-31,0.0262532171
2016-06-30,-0.0495393101
2016-07-31,0.0181908869
2016-08-31,0.0101093708
2016-09-30,-0.0232380758
2016-10-31,-0.0164856715
2016-11-30,0.0359029764
2016-12-31,-0.002021081
2017-01-31,-0.0250903709
2017-02-28,0.0052980142
2017-03-31,-0.0183204705
2017-04-30,-0.0026142518
2017-05-31,-0.0011465124
2017-06-30,0.014371111
2017-07-31,-0.0179422882
2017-08-31,-0.0158217685
2017-09-30,0.0224542195
2017-10-31,0.0186882433
2017-11-30,-0.0019121908
2017-12-31,-0.0200516245
2018-01-31,0.0078187758
2018-02-28,-0.009352742
2018-03-31,-0.0383447639
2018-04-30,-0.0120930301
2018-05-31,0.0108618829
2018-06-30,-0.0062287766
2018-07-31,0.0045823843
2018-08-31,0.033007517
2018-09-30,-0.036252051
2018-10-31,-0.0368315255
2018-11-30,0.0291007942
2018-12-31,-0.0360474709
2019-01-31,0.0015808626
2019-02-28,-0.0159008176
2019-03-31,-0.0077211222
2019-04-30,0.0201964243
2019-05-31,-0.0378314927
2019-06-30,0.0164448035
2019-07-31,0.0021066716
2019-08-31,-0.0083759431
2019-09-30,1.13434E-005
2019-10-31,-0.0107383598
2019-11-30,0.0161957077
2019-12-31,-0.0286764113
2020-01-31,-0.0319726474
2020-02-29,-0.0085429223
2020-03-31,-0.0157403091
2020-04-30,0.0181080482
2020-05-31,-0.007617989
2020-06-30,-0.0261414337
2020-07-31,-0.0088814311
2020-08-31,-0.0040889135
2020-09-30,0.0050685579
2020-10-31,-0.0056145207
2020-11-30,-0.0085718279
2020-12-31,-0.0278860038
2021-01-31,-0.0144289043
2021-02-28,0.0081429212
2021-03-31,0.0311954537
2021-04-30,-0.0080810768
2021-05-31,0.0184292105
2021-06-30,-0.0374256456
2021-07-31,-0.0034423416
2021-08-31,0.0130836423
2021-09-30,-0.0142291535
2021-10-31,0.0236207035
2021-11-30,0.014051542
