date,frequency,bmg
2010-01-31,MONTHLY,0.0628897618
2010-02-28,MONTHLY,0.0902337291
2010-03-31,MONTHLY,-0.0521747469
2010-04-30,MONTHLY,0.0612019568
2010-05-31,MONTHLY,0.0781850398
2010-06-30,MONTHLY,0.0005029960
2010-07-31,MONTHLY,-0.0873513454
2010-08-31,MONTHLY,0.0401451422
2010-09-30,MONTHLY,0.0002837899
2010-10-31,MONTHLY,0.0489025453
2010-11-30,MONTHLY,0.1593986395
2010-12-31,MONTHLY,0.0513037018
2011-01-31,MONTHLY,0.0395761510
2011-02-28,MONTHLY,0.0714917391
2011-03-31,MONTHLY,-0.0414334969
2011-04-30,MONTHLY,0.0579657645
2011-05-31,MONTHLY,0.0221280273
2011-06-30,MONTHLY,0.0231819251
2011-07-31,MONTHLY,0.1386586422
2011-08-31,MONTHLY,-0.0417340220
2011-09-30,MONTHLY,0.0114455417
2011-10-31,MONTHLY,0.2042211666
2011-11-30,MONTHLY,0.0787760123
2011-12-31,MONTHLY,0.0607859425
2012-01-31,MONTHLY,-0.0807705882
2012-02-29,MONTHLY,0.0640405397
2012-03-31,MONTHLY,-0.0183310974
2012-04-30,MONTHLY,0.0591361760
2012-05-31,MONTHLY,-0.0266481579
2012-06-30,MONTHLY,-0.0031618603
2012-07-31,MONTHLY,0.0853381207
2012-08-31,MONTHLY,-0.0334181873
2012-09-30,MONTHLY,0.0490314280
2012-10-31,MONTHLY,-0.0305984489
2012-11-30,MONTHLY,-0.0494630509
2012-12-31,MONTHLY,-0.0262608023
2013-01-31,MONTHLY,-0.0249351444
2013-02-28,MONTHLY,-0.0180974549
2013-03-31,MONTHLY,0.0089596338
2013-04-30,MONTHLY,-0.1275629951
2013-05-31,MONTHLY,-0.0894800066
2013-06-30,MONTHLY,-0.0178978192
2013-07-31,MONTHLY,-0.0405377385
2013-08-31,MONTHLY,0.0452208109
2013-09-30,MONTHLY,-0.0338507309
2013-10-31,MONTHLY,0.0227031722
2013-11-30,MONTHLY,-0.0273263722
2013-12-31,MONTHLY,-0.0067596102
2014-01-31,MONTHLY,-0.0705069230
2014-02-28,MONTHLY,-0.0312874740
2014-03-31,MONTHLY,0.0520455199
2014-04-30,MONTHLY,0.1163335288
2014-05-31,MONTHLY,-0.0560382025
2014-06-30,MONTHLY,0.0042733086
2014-07-31,MONTHLY,-0.0033112017
2014-08-31,MONTHLY,-0.0264234509
2014-09-30,MONTHLY,-0.0439043159
2014-10-31,MONTHLY,-0.0694724882
2014-11-30,MONTHLY,-0.1652260523
2014-12-31,MONTHLY,-0.0070749328
2015-01-31,MONTHLY,-0.0162551866
2015-02-28,MONTHLY,-0.0027924763
2015-03-31,MONTHLY,0.0256104884
2015-04-30,MONTHLY,0.0100781834
2015-05-31,MONTHLY,-0.1311696699
2015-06-30,MONTHLY,-0.0230646104
2015-07-31,MONTHLY,-0.1280372801
2015-08-31,MONTHLY,0.0964728483
2015-09-30,MONTHLY,-0.0883430464
2015-10-31,MONTHLY,0.0742166272
2015-11-30,MONTHLY,0.0026760558
2015-12-31,MONTHLY,-0.2271286644
2016-01-31,MONTHLY,0.0471784071
2016-02-29,MONTHLY,-0.1526418995
2016-03-31,MONTHLY,0.1677420968
2016-04-30,MONTHLY,0.1991285217
2016-05-31,MONTHLY,0.0183799184
2016-06-30,MONTHLY,0.0030017009
2016-07-31,MONTHLY,-0.0646632374
2016-08-31,MONTHLY,0.0665034068
2016-09-30,MONTHLY,0.0296250117
2016-10-31,MONTHLY,-0.0438337790
2016-11-30,MONTHLY,0.2119140015
2016-12-31,MONTHLY,-0.0163402701
2017-01-31,MONTHLY,-0.0997104837
2017-02-28,MONTHLY,-0.0762103382
2017-03-31,MONTHLY,-0.0348280428
2017-04-30,MONTHLY,-0.1019260259
2017-05-31,MONTHLY,-0.0883518348
2017-06-30,MONTHLY,-0.0442598155
2017-07-31,MONTHLY,0.0105095979
2017-08-31,MONTHLY,-0.0396727087
2017-09-30,MONTHLY,0.1012452504
2017-10-31,MONTHLY,-0.0373626233
2017-11-30,MONTHLY,0.0941368139
2017-12-31,MONTHLY,0.0153868529
2018-01-31,MONTHLY,-0.0522996730
2018-02-28,MONTHLY,-0.0747331368
2018-03-31,MONTHLY,0.0813071178
2018-04-30,MONTHLY,0.1121372396
2018-05-31,MONTHLY,0.0727150935
2018-06-30,MONTHLY,0.0589222840
2018-07-31,MONTHLY,-0.0351470421
2018-08-31,MONTHLY,-0.0181184338
