Date,BMG
2010-01-31,0.0317760403
2010-02-28,0.1000107763
2010-03-31,-0.0908744325
2010-04-30,0.0597359201
2010-05-31,0.1635438961
2010-06-30,0.0126740273
2010-07-31,-0.1267076142
2010-08-31,0.0523195041
2010-09-30,-0.020510237
2010-10-31,0.0290368382
2010-11-30,0.1655190061
2010-12-31,0.0267622414
2011-01-31,0.0264484469
2011-02-28,0.0544507661
2011-03-31,-0.0572061589
2011-04-30,0.0430778376
2011-05-31,0.0326781798
2011-06-30,0.0328137722
2011-07-31,0.1351023385
2011-08-31,0.0615382011
2011-09-30,0.0761415476
2011-10-31,0.1415525867
2011-11-30,0.1485431989
2011-12-31,0.0594716821
2012-01-31,-0.1253341103
2012-02-29,0.0154983422
2012-03-31,-0.0281346168
2012-04-30,0.0804164441
2012-05-31,0.0258709178
2012-06-30,-0.0222258151
2012-07-31,0.0505974748
2012-08-31,-0.0561979087
2012-09-30,0.0185393734
2012-10-31,-0.0636390133
2012-11-30,-0.0322308854
2012-12-31,-0.0405080269
2013-01-31,-0.042914461
2013-02-28,-0.0078785444
2013-03-31,0.0094517289
2013-04-30,-0.1358565723
2013-05-31,-0.0995015882
2013-06-30,0.025201766
2013-07-31,-0.0605540187
2013-08-31,0.0513315471
2013-09-30,-0.0363336746
2013-10-31,-0.0022702202
2013-11-30,-0.0337326612
2013-12-31,-0.0304534447
2014-01-31,-0.0695231145
2014-02-28,-0.0533361029
2014-03-31,0.0463858048
2014-04-30,0.1070628704
2014-05-31,-0.0646420241
2014-06-30,-0.0026905474
2014-07-31,-0.0016398966
2014-08-31,-0.0228872522
2014-09-30,-0.0273990768
2014-10-31,-0.058912576
2014-11-30,-0.143002141
2014-12-31,0.029526255
2015-01-31,0.0021959909
2015-02-28,-0.0569976917
2015-03-31,0.0297237775
2015-04-30,0.006400779
2015-05-31,-0.1211860055
2015-06-30,-0.0016331883
2015-07-31,-0.1050110025
2015-08-31,0.1257801087
2015-09-30,-0.0614534722
2015-10-31,0.0391551619
2015-11-30,0.0033787452
2015-12-31,-0.1640275888
2016-01-31,0.1353436229
2016-02-29,-0.1410150405
2016-03-31,0.0781746149
2016-04-30,0.160409196
2016-05-31,0.0183796602
2016-06-30,0.0135713904
2016-07-31,-0.0906903831
2016-08-31,0.0463458705
2016-09-30,0.0338644723
2016-10-31,-0.0539669615
2016-11-30,0.2142566178
2016-12-31,0.0069629529
2017-01-31,-0.080063584
2017-02-28,-0.0854817954
2017-03-31,0.005005135
2017-04-30,-0.078742243
2017-05-31,-0.0941371622
2017-06-30,-0.0132807114
2017-07-31,0.027497337
2017-08-31,-0.0266698768
2017-09-30,0.0800147774
2017-10-31,-0.0471198443
2017-11-30,0.0999908151
2017-12-31,0.0459495404
2018-01-31,-0.0397268426
2018-02-28,-0.0501160869
2018-03-31,0.1331916083
2018-04-30,0.1579641177
2018-05-31,0.0935192986
2018-06-30,0.1045901907
2018-07-31,-0.0387221896
2018-08-31,-0.0080347069
2018-09-30,0.0566938026
2018-10-31,-0.0092845314
2018-11-30,-0.1241480607
2018-12-31,-0.0751925589
2019-01-31,0.0235248049
2019-02-28,-0.0821001151
2019-03-31,0.0433919126
2019-04-30,-0.0707509803
2019-05-31,-0.0443636777
2019-06-30,-0.0618727031
2019-07-31,-0.1072595626
2019-08-31,-0.1312099294
2019-09-30,-0.0260735373
2019-10-31,-0.1498896039
2019-11-30,-0.1692556597
2019-12-31,0.050053621
2020-01-31,-0.1973014198
2020-02-29,-0.1167721421
2020-03-31,-0.1324379544
2020-04-30,0.1436536124
2020-05-31,-0.1949446275
2020-06-30,-0.1066612879
2020-07-31,-0.1812074185
2020-08-31,-0.1903829281
2020-09-30,-0.1762961332
2020-10-31,-0.0974414028
2020-11-30,0.0147656521
2020-12-31,-0.0670575591
2021-01-31,0.0363033283
2021-02-28,0.3125938192
2021-03-31,0.0481478296
2021-04-30,0.0219484787
2021-05-31,0.1117516942
2021-06-30,0.0057506592
2021-07-31,-0.1047795123
2021-08-31,-0.0327823935
2021-09-30,0.2429567037
2021-10-31,-0.0767505455
2021-11-30,0.0138542836
