Date,frequency,BMG
2010-01-31,MONTHLY,0.0315042003
2010-02-28,MONTHLY,0.1008358263
2010-03-31,MONTHLY,-0.0888534325
2010-04-30,MONTHLY,0.0611408401
2010-05-31,MONTHLY,0.1632218661
2010-06-30,MONTHLY,0.0122814073
2010-07-31,MONTHLY,-0.1252204842
2010-08-31,MONTHLY,0.0535778541
2010-09-30,MONTHLY,-0.019898227
2010-10-31,MONTHLY,0.0298360982
2010-11-30,MONTHLY,0.1646310861
2010-12-31,MONTHLY,0.0250068014
2011-01-31,MONTHLY,0.0259342969
2011-02-28,MONTHLY,0.0537090361
2011-03-31,MONTHLY,-0.0571804189
2011-04-30,MONTHLY,0.0414325376
2011-05-31,MONTHLY,0.0330080898
2011-06-30,MONTHLY,0.0331962722
2011-07-31,MONTHLY,0.1342836885
2011-08-31,MONTHLY,0.0631091211
2011-09-30,MONTHLY,0.0749832676
2011-10-31,MONTHLY,0.1418444267
2011-11-30,MONTHLY,0.1479978489
2011-12-31,MONTHLY,0.0591559821
2012-01-31,MONTHLY,-0.1239105803
2012-02-29,MONTHLY,0.0174184222
2012-03-31,MONTHLY,-0.0272761768
2012-04-30,MONTHLY,0.0808272041
2012-05-31,MONTHLY,0.0265163878
2012-06-30,MONTHLY,-0.0212021751
2012-07-31,MONTHLY,0.0516422448
2012-08-31,MONTHLY,-0.0575742387
2012-09-30,MONTHLY,0.0194930134
2012-10-31,MONTHLY,-0.0621500933
2012-11-30,MONTHLY,-0.0322504154
2012-12-31,MONTHLY,-0.0404481669
2013-01-31,MONTHLY,-0.044083281
2013-02-28,MONTHLY,-0.0078890144
2013-03-31,MONTHLY,0.0090633689
2013-04-30,MONTHLY,-0.1345447623
2013-05-31,MONTHLY,-0.1016635082
2013-06-30,MONTHLY,0.022121056
2013-07-31,MONTHLY,-0.0610962387
2013-08-31,MONTHLY,0.0502037871
2013-09-30,MONTHLY,-0.0365225246
2013-10-31,MONTHLY,-0.0006402402
2013-11-30,MONTHLY,-0.0343889312
2013-12-31,MONTHLY,-0.0301262147
2014-01-31,MONTHLY,-0.0702998345
2014-02-28,MONTHLY,-0.0523527929
2014-03-31,MONTHLY,0.0469178848
2014-04-30,MONTHLY,0.1077402704
2014-05-31,MONTHLY,-0.0639429541
2014-06-30,MONTHLY,-0.0022343274
2014-07-31,MONTHLY,-0.0019152666
2014-08-31,MONTHLY,-0.0225482822
2014-09-30,MONTHLY,-0.0281272768
2014-10-31,MONTHLY,-0.058342826
2014-11-30,MONTHLY,-0.143575421
2014-12-31,MONTHLY,0.030506955
2015-01-31,MONTHLY,0.0024967709
2015-02-28,MONTHLY,-0.0561965017
2015-03-31,MONTHLY,0.0294299375
2015-04-30,MONTHLY,0.007270229
2015-05-31,MONTHLY,-0.1222935055
2015-06-30,MONTHLY,-0.0021910083
2015-07-31,MONTHLY,-0.1053599025
2015-08-31,MONTHLY,0.1261246087
2015-09-30,MONTHLY,-0.0620219522
2015-10-31,MONTHLY,0.0393473519
2015-11-30,MONTHLY,0.0027088052
2015-12-31,MONTHLY,-0.1599296788
2016-01-31,MONTHLY,0.1384660329
2016-02-29,MONTHLY,-0.1384043605
2016-03-31,MONTHLY,0.0787950949
2016-04-30,MONTHLY,0.161950516
2016-05-31,MONTHLY,0.0183796602
2016-06-30,MONTHLY,0.0143809804
