Date,BMG
2010-01-31,0.0323459803
2010-02-28,0.0986809163
2010-03-31,-0.1200363625
2010-04-30,0.0519467401
2010-05-31,0.1871964061
2010-06-30,0.0382263373
2010-07-31,-0.1389613242
2010-08-31,0.0705575841
2010-09-30,-0.005311837
2010-10-31,0.0407206082
2010-11-30,0.1725482661
2010-12-31,0.0097590314
2011-01-31,-0.0002437431
2011-02-28,0.0499862361
2011-03-31,-0.0421977389
2011-04-30,0.0604610076
2011-05-31,0.0453118498
2011-06-30,0.0281592622
2011-07-31,0.1558101585
2011-08-31,0.0786364011
2011-09-30,0.0691122876
2011-10-31,0.1597906667
2011-11-30,0.1556674489
2011-12-31,0.0422784921
2012-01-31,-0.1180198803
2012-02-29,0.0184430322
2012-03-31,-0.0285145768
2012-04-30,0.0963747641
2012-05-31,0.0251109978
2012-06-30,-0.0358093851
2012-07-31,0.0604764348
2012-08-31,-0.0619922987
2012-09-30,0.0070455834
2012-10-31,-0.0858666733
2012-11-30,-0.0333707654
2012-12-31,-0.0738495169
2013-01-31,-0.061627491
2013-02-28,-0.0009442744
2013-03-31,0.0271198689
2013-04-30,-0.1444056723
2013-05-31,-0.1080506882
2013-06-30,0.025391746
2013-07-31,-0.0647335787
2013-08-31,0.0586457771
2013-09-30,-0.0307292646
2013-10-31,-0.0207932702
2013-11-30,-0.0327827612
2013-12-31,-0.0275087547
2014-01-31,-0.0680032745
2014-02-28,-0.0539060429
2014-03-31,0.0192186648
2014-04-30,0.0958540504
2014-05-31,-0.0599875141
2014-06-30,-0.0003157974
2014-07-31,-0.0046795766
2014-08-31,-0.0156680122
2014-09-30,-0.0195149068
2014-10-31,-0.032220386
2014-11-30,-0.124004141
2014-12-31,0.029146295
2015-01-31,0.0258485009
2015-02-28,-0.0541479917
2015-03-31,0.0373229775
2015-04-30,-0.015161951
2015-05-31,-0.1105471255
2015-06-30,0.0046361517
2015-07-31,-0.0741392525
2015-08-31,0.1137163787
2015-09-30,-0.0517644922
2015-10-31,0.0359255019
2015-11-30,0.0222817552
2015-12-31,-0.1478792888
2016-01-31,0.1281243829
2016-02-29,-0.1390202505
2016-03-31,0.0741850349
2016-04-30,0.132102176
2016-05-31,0.0384225502
2016-06-30,0.0205056604
2016-07-31,-0.0950599231
2016-08-31,0.0255430605
2016-09-30,0.0455482423
2016-10-31,-0.0928178715
2016-11-30,0.1725560078
2016-12-31,-0.0192542871
2017-01-31,-0.075029114
2017-02-28,-0.0689535354
2017-03-31,0.022198325
2017-04-30,-0.065538633
2017-05-31,-0.0695347522
2017-06-30,-0.0298089714
2017-07-31,0.017808357
2017-08-31,-0.0139412168
2017-09-30,0.0644364174
2017-10-31,-0.0385707443
2017-11-30,0.1012256851
2017-12-31,0.0449046504
2018-01-31,-0.0261432726
2018-02-28,-0.0331128769
2018-03-31,0.1371811883
2018-04-30,0.1412458777
2018-05-31,0.1364547786
2018-06-30,0.1177938007
2018-07-31,-0.0500259996
2018-08-31,0.0317661031
2018-09-30,0.0538441026
2018-10-31,-0.0324620914
2018-11-30,-0.1125592807
2018-12-31,-0.0805119989
2019-01-31,0.0302690949
2019-02-28,-0.0622472051
2019-03-31,0.0745486326
2019-04-30,-0.0682812403
2019-05-31,-0.0282153777
2019-06-30,-0.0602578731
2019-07-31,-0.1012751926
2019-08-31,-0.1055626294
2019-09-30,-0.0654943873
2019-10-31,-0.1448551339
2019-11-30,-0.1481678797
2019-12-31,0.044164241
2020-01-31,-0.1561707498
2020-02-29,-0.1066082121
2020-03-31,-0.0440972544
2020-04-30,0.1875389924
2020-05-31,-0.1464997275
2020-06-30,-0.0902280179
2020-07-31,-0.1466310585
2020-08-31,-0.1536217981
2020-09-30,-0.1529285932
2020-10-31,-0.1168193628
2020-11-30,-0.0264600079
2020-12-31,-0.0556587591
2021-01-31,0.0267093383
2021-02-28,0.2417312792
2021-03-31,-0.0047616004
2021-04-30,0.0406615087
2021-05-31,0.0724258342
2021-06-30,0.0556204092
2021-07-31,-0.0889161823
2021-08-31,-0.0165391035
2021-09-30,0.2063855537
