Date,Mkt-RF,SMB,HML,WML
1990/11/30,-3.72,1.44,1.13,0.08
1990/12/31,1.11,-0.74,-1.48,-2.64
1991/01/31,2.49,-1.87,0.47,-1.69
1991/02/28,9.03,2.46,0.03,-7.45
1991/03/31,-2.29,3.28,-1.05,1.95
1991/04/30,0.54,0.01,0.46,-0.02
1991/05/31,0.73,-0.54,0.31,0.97
1991/06/30,-6.07,1.32,1.11,1.11
1991/07/31,3.47,-1.79,-0.38,3.45
1991/08/31,-1.29,0.36,-0.57,3.43
1991/09/30,2.85,0.49,-0.09,1.63
1991/10/31,1.36,-0.25,-1.42,2.46
1991/11/30,-5.09,0.84,-1.35,0.96
1991/12/31,6.32,-2.02,-2.72,3.21
1992/01/31,-2.18,3.88,3.08,0.4
1992/02/29,-1.89,2.29,1.88,1.18
1992/03/31,-5.48,0.76,2.54,0.7
1992/04/30,-0.14,-1.96,3.02,-0.01
1992/05/31,4.06,0.17,0.67,0.02
1992/06/30,-3.7,0.33,1.06,2.87
1992/07/31,-0.59,-2.23,-1.36,0.97
1992/08/31,2.44,-2.7,-1.62,-3.6
1992/09/30,-1.38,-0.09,-0.97,2.59
1992/10/31,-2.99,-0.33,-0.5,1.47
1992/11/30,1.82,0,-1.79,0.85
1992/12/31,0.76,1.33,0.98,1.56
1993/01/31,0.31,1.59,3.26,2.53
1993/02/28,1.89,-1.27,3.54,0.96
1993/03/31,6.67,0.35,1.85,0.42
1993/04/30,4.3,0.59,2.9,-0.2
1993/05/31,3.12,4.35,-1.5,0.55
1993/06/30,-2.11,-0.9,0.42,2.75
1993/07/31,2.25,-1.54,1.36,2.2
1993/08/31,4.37,0.86,1.13,0.35
1993/09/30,-1.95,1.82,0.28,0.46
1993/10/31,1.11,-0.33,-0.86,-0.28
1993/11/30,-6.26,1.6,-0.11,-4.81
1993/12/31,4.03,0.23,2.23,1.8
1994/01/31,7.26,0.27,3.17,1.98
1994/02/28,-1.17,1.4,0.53,0.84
1994/03/31,-3.7,0.63,1.86,-1.56
1994/04/30,2.31,-0.17,1.24,-0.57
1994/05/31,-0.18,-1.43,1.34,-0.7
1994/06/30,0.09,-0.7,1.28,0.08
1994/07/31,1.11,-0.48,0.69,-0.71
1994/08/31,2.12,0.07,-1.92,0.51
