Date,Mkt-RF,SMB,HML,WML
2010-01-31,-3.63    ,0.53    ,0.64    ,-4.49
2010-02-28,3.71    ,0.84    ,2.73    ,3.49
2010-03-31,6.27    ,1.53    ,1.40    ,3.57
2010-04-30,1.92    ,3.75    ,2.06    ,2.02
2010-05-31,-7.86    ,0.65   ,-2.20    ,-0.79
2010-06-30,-5.50   ,-1.06   ,-3.82    ,-2.5
2010-07-31,6.95   ,-0.04    ,1.08    ,1.56
2010-08-31,-4.45   ,-1.69   ,-2.17    ,1.05
2010-09-30,9.47    ,3.75   ,-1.83    ,1.54
2010-10-31,3.89    ,0.90   ,-1.40    ,0.99
2010-11-30,0.81    ,3.84    ,0.04    ,2.33
2010-12-31,6.83    ,1.23    ,3.45    ,-2.1
2011-01-31,1.98   ,-2.24    ,1.33    ,-0.51
2011-02-28,4.01    ,2.02    ,0.40    ,2.09
2011-03-31,0.43    ,2.15   ,-1.72    ,2.33
2011-04-30,2.79    ,0.04   ,-2.28    ,0.07
2011-05-31,-1.48   ,-1.18   ,-1.45    ,-0.61
2011-06-30,-1.87   ,-0.78   ,-0.23    ,1.42
2011-07-31,-2.28   ,-0.84   ,-1.96    ,1.1
2011-08-31,-5.92   ,-2.84   ,-1.85    ,-1.05
2011-09-30,-8.57   ,-4.08   ,-0.55    ,-3.29
2011-10-31,11.56    ,3.32   ,-0.05    ,-0.39
2011-11-30,-0.46   ,-0.74   ,-0.24    ,3.02
2011-12-31,0.33   ,-0.78    ,2.89    ,1.15
2012-01-31,5.27    ,2.54   ,-2.95    ,-5.87
2012-02-29,4.32   ,-1.44    ,0.14    ,0.39
2012-03-31,2.40   ,-1.29    ,0.72    ,2.42
2012-04-30,-0.64   ,-1.06   ,-0.30    ,3.02
2012-05-31,-6.69   ,-0.53    ,0.44    ,6.29
2012-06-30,3.74    ,0.65    ,0.34    ,-0.25
2012-07-31,1.01   ,-2.42    ,0.72    ,1.86
2012-08-31,2.76    ,0.88    ,0.24    ,-2.32
2012-09-30,2.80    ,0.96    ,0.68    ,-1.89
2012-10-31,-1.63   ,-0.75    ,3.72    ,0.44
2012-11-30,0.65   ,-0.09   ,-0.73    ,0.92
2012-12-31,1.30    ,1.72    ,3.03    ,-2.13
2013-01-31,5.33    ,0.35    ,1.54    ,-0.64
2013-02-28,0.96   ,-1.06   ,-0.01    ,2.2
2013-03-31,3.71    ,0.72   ,-0.15    ,2
2013-04-30,1.27   ,-2.84   ,-0.02    ,1.58
2013-05-31,2.53    ,1.41    ,1.12    ,0.08
2013-06-30,-1.52    ,0.88    ,0.52    ,0.98
2013-07-31,5.69    ,1.75   ,-0.24    ,1.19
2013-08-31,-2.53    ,0.48   ,-2.13    ,-0.81
2013-09-30,3.82    ,2.06   ,-1.42    ,3.28
2013-10-31,4.09   ,-1.77    ,0.65    ,0.15
2013-11-30,2.79    ,0.93   ,-0.53    ,2.02
2013-12-31,2.64   ,-0.54   ,-0.08    ,0.32
2014-01-31,-3.42    ,1.12   ,-1.43    ,1.38
2014-02-28,4.72    ,0.24   ,-0.42    ,1.6
2014-03-31,0.62   ,-1.54    ,4.88    ,-3.07
