Date,Rate,Curve,HiYieldSpread,BBBSpread,RateChg,CurveChg,HiYieldSpreadChg,BBBSpreadChg
2010-01-31,3.73,3.62,6.54,2.3,0.14,0.15,0.15,-0.18
2010-02-28,3.69,3.56,6.71,2.33,-0.04,-0.06,0.17,0.03
2010-03-31,3.73,3.57,5.84,2.05,0.04,0.01,-0.87,-0.28
2010-04-30,3.85,3.65,5.61,1.97,0.12,0.08,-0.23,-0.08
2010-05-31,3.42,3.22,6.98,2.51,-0.43,-0.43,1.37,0.54
2010-06-30,3.2,3.02,7.13,2.63,-0.22,-0.2,0.15,0.12
2010-07-31,3.01,2.83,6.59,2.41,-0.19,-0.19,-0.54,-0.22
2010-08-31,2.7,2.51,6.92,2.49,-0.31,-0.32,0.33,0.08
2010-09-30,2.65,2.46,6.26,2.37,-0.05,-0.05,-0.66,-0.12
2010-10-31,2.54,2.35,5.93,2.26,-0.11,-0.11,-0.33,-0.11
2010-11-30,2.76,2.57,6.22,2.28,0.22,0.22,0.29,0.02
2010-12-31,3.29,3.11,5.41,2.11,0.53,0.54,-0.81,-0.17
2011-01-31,3.39,3.22,5.08,2.04,0.1,0.11,-0.33,-0.07
2011-02-28,3.58,3.42,4.78,1.94,0.19,0.2,-0.3,-0.1
2011-03-31,3.41,3.27,4.77,1.89,-0.17,-0.15,-0.01,-0.05
2011-04-30,3.46,3.36,4.76,1.86,0.05,0.09,-0.01,-0.03
2011-05-31,3.17,3.08,5.09,1.96,-0.29,-0.28,0.33,0.1
2011-06-30,3,2.91,5.42,2.03,-0.17,-0.17,0.33,0.07
2011-07-31,3,2.93,5.58,2.04,0,0.02,0.16,0.01
2011-08-31,2.3,2.2,7.3,2.66,-0.7,-0.73,1.72,0.62
2011-09-30,1.98,1.9,8.41,3.1,-0.32,-0.3,1.11,0.44
2011-10-31,2.15,2.08,7.07,2.73,0.17,0.18,-1.34,-0.37
2011-11-30,2.01,1.93,7.79,3.14,-0.14,-0.15,0.72,0.41
2011-12-31,1.98,1.91,7.23,3.15,-0.03,-0.02,-0.56,0.01
2012-01-31,1.97,1.89,6.61,2.87,-0.01,-0.02,-0.62,-0.28
2012-02-29,1.97,1.87,5.98,2.55,0,-0.02,-0.63,-0.32
2012-03-31,2.17,2.04,5.99,2.43,0.2,0.17,0.01,-0.12
2012-04-30,2.05,1.91,6.04,2.55,-0.12,-0.13,0.05,0.12
2012-05-31,1.8,1.64,6.96,2.85,-0.25,-0.27,0.92,0.3
2012-06-30,1.62,1.46,6.44,2.75,-0.18,-0.18,-0.52,-0.1
2012-07-31,1.53,1.37,6.16,2.55,-0.09,-0.09,-0.28,-0.2
2012-08-31,1.68,1.55,5.98,2.45,0.15,0.18,-0.18,-0.1
2012-09-30,1.72,1.58,5.74,2.25,0.04,0.03,-0.24,-0.2
2012-10-31,1.75,1.59,5.63,2.02,0.03,0.01,-0.11,-0.23
2012-11-30,1.65,1.49,5.65,2.13,-0.1,-0.1,0.02,0.11
2012-12-31,1.72,1.56,5.34,2.04,0.07,0.07,-0.31,-0.09
2013-01-31,1.91,1.77,4.95,1.95,0.19,0.21,-0.39,-0.09
2013-02-28,1.98,1.83,4.98,1.99,0.07,0.06,0.03,0.04
2013-03-31,1.96,1.82,4.86,2.01,-0.02,-0.01,-0.12,0.02
2013-04-30,1.76,1.61,4.55,1.96,-0.2,-0.21,-0.31,-0.05
2013-05-31,1.93,1.82,4.62,1.95,0.17,0.21,0.07,-0.01
2013-06-30,2.3,2.21,5.21,2.21,0.37,0.39,0.59,0.26
2013-07-31,2.58,2.49,4.71,2.07,0.28,0.28,-0.5,-0.14
2013-08-31,2.74,2.66,4.76,2.11,0.16,0.17,0.05,0.04
2013-09-30,2.81,2.73,4.83,2.09,0.07,0.07,0.07,-0.02
2013-10-31,2.62,2.53,4.36,1.94,-0.19,-0.2,-0.47,-0.15
2013-11-30,2.72,2.64,4.27,1.91,0.1,0.11,-0.09,-0.03
2013-12-31,2.9,2.81,4,1.74,0.18,0.17,-0.27,-0.17
2014-01-31,2.86,2.79,4.21,1.78,-0.04,-0.02,0.21,0.04
2014-02-28,2.71,2.64,3.81,1.66,-0.15,-0.15,-0.4,-0.12
2014-03-31,2.72,2.64,3.77,1.61,0.01,0,-0.04,-0.05
2014-04-30,2.71,2.62,3.71,1.54,-0.01,-0.02,-0.06,-0.07
2014-05-31,2.56,2.47,3.67,1.5,-0.15,-0.15,-0.04,-0.04
2014-06-30,2.6,2.5,3.53,1.44,0.04,0.03,-0.14,-0.06
2014-07-31,2.54,2.45,4.04,1.47,-0.06,-0.05,0.51,0.03
2014-08-31,2.42,2.33,3.84,1.5,-0.12,-0.12,-0.2,0.03
2014-09-30,2.53,2.44,4.4,1.59,0.11,0.11,0.56,0.09
2014-10-31,2.3,2.21,4.3,1.67,-0.23,-0.23,-0.1,0.08
2014-11-30,2.33,2.24,4.67,1.8,0.03,0.03,0.37,0.13
2014-12-31,2.21,2.09,5.04,1.98,-0.12,-0.15,0.37,0.18
2015-01-31,1.88,1.77,5.26,2.13,-0.33,-0.32,0.22,0.15
2015-02-28,1.98,1.87,4.46,1.8,0.1,0.1,-0.8,-0.33
2015-03-31,2.04,1.93,4.82,1.82,0.06,0.06,0.36,0.02
2015-04-30,1.94,1.82,4.59,1.79,-0.1,-0.11,-0.23,-0.03
2015-05-31,2.2,2.08,4.58,1.83,0.26,0.26,-0.01,0.04
2015-06-30,2.36,2.23,5,1.93,0.16,0.15,0.42,0.1
2015-07-31,2.32,2.19,5.36,2.07,-0.04,-0.04,0.36,0.14
2015-08-31,2.17,2.03,5.7,2.24,-0.15,-0.16,0.34,0.17
2015-09-30,2.17,2.03,6.62,2.4,0,0,0.92,0.16
2015-10-31,2.07,1.95,5.9,2.23,-0.1,-0.08,-0.72,-0.17
2015-11-30,2.26,2.14,6.4,2.22,0.19,0.19,0.5,-0.01
2015-12-31,2.24,2,6.95,2.41,-0.02,-0.14,0.55,0.19
2016-01-31,2.09,1.75,7.77,2.79,-0.15,-0.25,0.82,0.38
2016-02-29,1.78,1.4,7.75,2.82,-0.31,-0.35,-0.02,0.03
2016-03-31,1.89,1.53,7.05,2.31,0.11,0.13,-0.7,-0.51
2016-04-30,1.81,1.44,6.21,2.07,-0.08,-0.09,-0.84,-0.24
2016-05-31,1.81,1.44,5.97,2.07,0,0,-0.24,0
2016-06-30,1.64,1.26,6.21,2.13,-0.17,-0.18,0.24,0.06
2016-07-31,1.5,1.11,5.69,1.97,-0.14,-0.15,-0.52,-0.16
2016-08-31,1.56,1.16,5.1,1.83,0.06,0.05,-0.59,-0.14
2016-09-30,1.63,1.23,4.97,1.85,0.07,0.07,-0.13,0.02
2016-10-31,1.76,1.36,4.91,1.78,0.13,0.13,-0.06,-0.07
2016-11-30,2.14,1.73,4.67,1.75,0.38,0.37,-0.24,-0.03
2016-12-31,2.49,1.95,4.22,1.66,0.35,0.22,-0.45,-0.09
2017-01-31,2.43,1.78,4,1.61,-0.06,-0.17,-0.22,-0.05
2017-02-28,2.42,1.76,3.74,1.54,-0.01,-0.02,-0.26,-0.07
2017-03-31,2.48,1.69,3.92,1.57,0.06,-0.07,0.18,0.03
2017-04-30,2.3,1.4,3.81,1.55,-0.18,-0.29,-0.11,-0.02
2017-05-31,2.3,1.39,3.74,1.5,0,-0.01,-0.07,-0.05
2017-06-30,2.19,1.15,3.75,1.49,-0.11,-0.24,0.01,-0.01
2017-07-31,2.32,1.17,3.61,1.41,0.13,0.02,-0.14,-0.08
2017-08-31,2.21,1.05,3.85,1.48,-0.11,-0.12,0.24,0.07
2017-09-30,2.2,1.05,3.56,1.37,-0.01,0,-0.29,-0.11
2017-10-31,2.36,1.21,3.51,1.3,0.16,0.16,-0.05,-0.07
2017-11-30,2.35,1.19,3.61,1.32,-0.01,-0.02,0.1,0.02
2017-12-31,2.4,1.1,3.63,1.28,0.05,-0.09,0.02,-0.04
2018-01-31,2.58,1.17,3.29,1.17,0.18,0.07,-0.34,-0.11
2018-02-28,2.86,1.44,3.47,1.28,0.28,0.27,0.18,0.11
2018-03-31,2.84,1.33,3.72,1.45,-0.02,-0.11,0.25,0.17
2018-04-30,2.87,1.18,3.46,1.44,0.03,-0.15,-0.26,-0.01
2018-05-31,2.98,1.28,3.63,1.54,0.11,0.1,0.17,0.1
2018-06-30,2.91,1.09,3.71,1.63,-0.07,-0.19,0.08,0.09
2018-07-31,2.89,0.98,3.46,1.47,-0.02,-0.11,-0.25,-0.16
2018-08-31,2.89,0.98,3.49,1.53,0,0,0.03,0.06
2018-09-30,3,1.05,3.28,1.43,0.11,0.07,-0.21,-0.1
2018-10-31,3.15,0.96,3.81,1.58,0.15,-0.09,0.53,0.15
2018-11-30,3.12,0.92,4.29,1.84,-0.03,-0.04,0.48,0.26
2018-12-31,2.83,0.56,5.33,2.02,-0.29,-0.36,1.04,0.18
2019-01-31,2.71,0.31,4.37,1.79,-0.12,-0.25,-0.96,-0.23
2019-02-28,2.68,0.27,3.92,1.68,-0.03,-0.04,-0.45,-0.11
2019-03-31,2.57,0.16,4.05,1.63,-0.11,-0.11,0.13,-0.05
2019-04-30,2.53,0.11,3.73,1.5,-0.04,-0.05,-0.32,-0.13
2019-05-31,2.4,0.01,4.59,1.71,-0.13,-0.1,0.86,0.21
2019-06-30,2.07,-0.31,4.07,1.57,-0.33,-0.32,-0.52,-0.14
2019-07-31,2.06,-0.34,3.93,1.47,-0.01,-0.03,-0.14,-0.1
