Ticker,Name,Weight,Market Value,Sector,Country
0001.HK,CK HUTCHISON HOLDINGS LTD,0.03,USD 1894835.35,Industrials,KY
0101.HK,HANG LUNG PROPERTIES LTD,0.01,USD 540766.59,Real Estate,HK
1038.HK,CHEUNG KONG INFRASTRUCTURE HOLDING,0.01,USD 631877.91,Utilities,BM
0011.HK,HANG SENG BANK LTD,0.02,USD 1386102.49,Financials,HK
1113.HK,CK ASSET HOLDINGS LTD,0.02,USD 1270047.38,Real Estate,KY
0012.HK,HENDERSON LAND DEVELOPMENT LTD,0.01,USD 669122.05,Real Estate,HK
0083.HK,SINO LAND COMPANY LTD,,,Real Estate,HK
1299.HK,AIA GROUP LTD,0.23,USD 14271533.49,Financials,HK
1308.HK,SITC INTERNATIONAL HOLDINGS LTD,0.01,USD 616816.06,Industrials,KY
0016.HK,SUN HUNG KAI PROPERTIES LTD,0.03,USD 1905483.57,Real Estate,HK
1605.T,INPEX CORP,0.01,USD 570789.15,Energy,JP
0017.HK,NEW WORLD DEVELOPMENT COMPANY LTD,0.01,USD 757929.84,Real Estate,HK
1801.T,TAISEI CORP,0.01,USD 802442.93,Industrials,JP
1802.T,OBAYASHI CORP,0.01,USD 603390.82,Industrials,JP
1803.T,SHIMIZU CORP,0.01,USD 534377.60,Industrials,JP
1812.T,KAJIMA CORP,0.01,USD 633306.19,Industrials,JP
1821.HK,ESR CAYMAN LTD,0.01,USD 383935.74,Real Estate,KY
1876.HK,BUDWEISER BREWING COMPANY APAC LTD,0,USD 282362.35,Consumer Staples,KY
1878.T,DAITO TRUST CONSTRUCTION LTD,0.01,USD 837385.06,Real Estate,JP
0019.HK,SWIRE PACIFIC LTD A,0.01,USD 414457.83,Real Estate,HK
1925.T,DAIWA HOUSE INDUSTRY LTD,0.03,USD 2035664.94,Real Estate,JP
1928.HK,SANDS CHINA LTD,0.01,USD 599044.11,Consumer Discretionary,KY
1928.T,SEKISUI HOUSE LTD,0.02,USD 1444825.93,Consumer Discretionary,JP
1929.HK,CHOW TAI FOOK JEWELLERY GROUP LTD,0.01,USD 425286.94,Consumer Discretionary,KY
1972.HK,SWIRE PROPERTIES LTD,0.01,USD 339670.36,Real Estate,HK
1997.HK,WHARF REAL ESTATE INVESTMENT COMPA,0.02,USD 1027469.88,Real Estate,KY
1COV.DE,COVESTRO AG,0.02,USD 1320295.67,Materials,DE
0002.HK,CLP HOLDINGS LTD,0.02,USD 1415068.27,Utilities,HK
2002.T,NISSHIN SEIFUN GROUP INC,0.01,USD 418533.33,Consumer Staples,JP
2127.T,NIHON M&A CENTER INC,0.02,USD 1053863.40,Industrials,JP
2181.T,PERSOL HOLDINGS LTD,0.01,USD 599926.80,Industrials,JP
2267.T,YAKULT HONSHA LTD,0.01,USD 828345.30,Consumer Staples,JP
2269.T,MEIJI HOLDINGS LTD,0.01,USD 764554.65,Consumer Staples,JP
2282.T,NH FOODS LTD,0.01,USD 534059.20,Consumer Staples,JP
2331.T,SOHGO SECURITY SERVICES LTD,0.01,USD 333336.38,Industrials,JP
2371.T,KAKAKU.COM INC,0.01,USD 371050.83,Communication,JP
2388.HK,BOC HONG KONG HOLDINGS LTD,0.02,USD 1151585.54,Financials,HK
2413.T,M3 INC,0.06,USD 3638570.84,Health Care,JP
2433.T,HAKUHODO DY HOLDINGS INC,0.01,USD 417226.77,Communication,JP
2502.T,ASAHI GROUP HOLDINGS LTD,0.04,USD 2495946.75,Consumer Staples,JP
2503.T,KIRIN HOLDINGS LTD,0.03,USD 1565159.89,Consumer Staples,JP
2587.T,SUNTORY BEVERAGE & FOOD LTD,0,USD 217530.54,Consumer Staples,JP
2593.T,ITO EN LTD,0.01,USD 372423.26,Consumer Staples,JP
2638.HK,HK ELECTRIC INVESTMENTS UNITS LTD,0.01,USD 340163.86,Utilities,HK
2651.T,LAWSON INC,0.01,USD 317855.35,Consumer Staples,JP
2670.T,ABC MART INC,0,USD 283681.78,Consumer Discretionary,JP
0027.HK,GALAXY ENTERTAINMENT GROUP LTD,0.02,USD 1197455.42,Consumer Discretionary,HK
2702.T,MCDONALDS HOLDINGS (JAPAN) LTD,0,USD 261366.03,Consumer Discretionary,JP
2801.T,KIKKOMAN CORP,0.03,USD 1572487.31,Consumer Staples,JP
2802.T,AJINOMOTO INC,0.02,USD 1429179.74,Consumer Staples,JP
2875.T,TOYO SUISAN LTD,0.01,USD 395855.25,Consumer Staples,JP
0288.HK,WH GROUP LTD,0.01,USD 657547.31,Consumer Staples,KY
2897.T,NISSIN FOODS HOLDINGS LTD,0.01,USD 529356.33,Consumer Staples,JP
2914.T,JAPAN TOBACCO INC,0.04,USD 2494377.60,Consumer Staples,JP
0003.HK,HONG KONG AND CHINA GAS LTD,0.03,USD 1831838.18,Utilities,HK
3003.T,HULIC LTD,0,USD 294628.30,Real Estate,JP
3038.T,KOBE BUSSAN LTD,0.01,USD 567500.80,Consumer Staples,JP
3064.T,MONOTARO LTD,0.01,USD 487788.10,Industrials,JP
3092.T,ZOZO INC,0,USD 259060.34,Consumer Discretionary,JP
3141.T,WELCIA HOLDINGS LTD,0.01,USD 339228.69,Consumer Staples,JP
3231.T,NOMURA REAL ESTATE HOLDINGS INC,0,USD 251264.93,Real Estate,JP
3281.T,GLP J-REIT REIT,0.01,USD 633369.32,Real Estate,JP
3283.T,NIPPON PROLOGIS REIT INC,0.01,USD 848172.38,Real Estate,JP
3291.T,IIDA GROUP HOLDINGS LTD,0.01,USD 641301.07,Consumer Discretionary,JP
3349.T,COSMOS PHARMACEUTICAL CORP,0.01,USD 453360.17,Consumer Staples,JP
3382.T,SEVEN & I HOLDINGS LTD,0.06,USD 3478151.79,Consumer Staples,JP
3391.T,TSURUHA HOLDINGS INC,0.01,USD 658877.35,Consumer Staples,JP
3402.T,TORAY INDUSTRIES INC,0.02,USD 1053765.41,Materials,JP
3407.T,ASAHI KASEI CORP,0.02,USD 1407241.41,Materials,JP
3436.T,SUMCO CORP,0.01,USD 552673.04,Information Technology,JP
3462.T,NOMURA REAL ESTATE MASTER FUND REI,0.01,USD 624996.57,Real Estate,JP
3626.T,TIS INC,0.01,USD 513975.94,Information Technology,JP
3635.T,KOEI TECMO HOLDINGS LTD,0.01,USD 574476.42,Communication,JP
