Ticker,Name,Sector,GICS Sub-Industry
0001.HK,CK HUTCHISON HOLDINGS LTD,Industrials,
0101.HK,HANG LUNG PROPERTIES LTD,Real Estate,
1038.HK,CHEUNG KONG INFRASTRUCTURE HOLDING,Utilities,
0011.HK,HANG SENG BANK LTD,Financials,
0083.HK,SINO LAND COMPANY LTD,Real Estate,
1113.HK,CK ASSET HOLDINGS LTD,Real Estate,
0012.HK,HENDERSON LAND DEVELOPMENT LTD,Real Estate,
1299.HK,AIA GROUP LTD,Financials,
1308.HK,SITC INTERNATIONAL HOLDINGS LTD,Industrials,
0016.HK,SUN HUNG KAI PROPERTIES LTD,Real Estate,
1605.T,INPEX CORP,Energy,
0017.HK,NEW WORLD DEVELOPMENT COMPANY LTD,Real Estate,
1801.T,TAISEI CORP,Industrials,
1802.T,OBAYASHI CORP,Industrials,
1803.T,SHIMIZU CORP,Industrials,
1812.T,KAJIMA CORP,Industrials,
1821.HK,ESR CAYMAN LTD,Real Estate,
1876.HK,BUDWEISER BREWING COMPANY APAC LTD,Consumer Staples,
1878.T,DAITO TRUST CONSTRUCTION LTD,Real Estate,
0019.HK,SWIRE PACIFIC LTD A,Real Estate,
1925.T,DAIWA HOUSE INDUSTRY LTD,Real Estate,
1928.HK,SANDS CHINA LTD,Consumer Discretionary,
1928.T,SEKISUI HOUSE LTD,Consumer Discretionary,
1929.HK,CHOW TAI FOOK JEWELLERY GROUP LTD,Consumer Discretionary,
1972.HK,SWIRE PROPERTIES LTD,Real Estate,
1997.HK,WHARF REAL ESTATE INVESTMENT COMPA,Real Estate,
1COV.DE,COVESTRO AG,Materials,
0002.HK,CLP HOLDINGS LTD,Utilities,
2002.T,NISSHIN SEIFUN GROUP INC,Consumer Staples,
2127.T,NIHON M&A CENTER INC,Industrials,
2181.T,PERSOL HOLDINGS LTD,Industrials,
2267.T,YAKULT HONSHA LTD,Consumer Staples,
2269.T,MEIJI HOLDINGS LTD,Consumer Staples,
2282.T,NH FOODS LTD,Consumer Staples,
2331.T,SOHGO SECURITY SERVICES LTD,Industrials,
2371.T,KAKAKU.COM INC,Communication,
2388.HK,BOC HONG KONG HOLDINGS LTD,Financials,
2413.T,M3 INC,Health Care,
2433.T,HAKUHODO DY HOLDINGS INC,Communication,
2502.T,ASAHI GROUP HOLDINGS LTD,Consumer Staples,
2503.T,KIRIN HOLDINGS LTD,Consumer Staples,
2587.T,SUNTORY BEVERAGE & FOOD LTD,Consumer Staples,
2593.T,ITO EN LTD,Consumer Staples,
2638.HK,HK ELECTRIC INVESTMENTS UNITS LTD,Utilities,
2651.T,LAWSON INC,Consumer Staples,
2670.T,ABC MART INC,Consumer Discretionary,
0027.HK,GALAXY ENTERTAINMENT GROUP LTD,Consumer Discretionary,
2702.T,MCDONALDS HOLDINGS (JAPAN) LTD,Consumer Discretionary,
2801.T,KIKKOMAN CORP,Consumer Staples,
2802.T,AJINOMOTO INC,Consumer Staples,
2875.T,TOYO SUISAN LTD,Consumer Staples,
0288.HK,WH GROUP LTD,Consumer Staples,
2897.T,NISSIN FOODS HOLDINGS LTD,Consumer Staples,
2914.T,JAPAN TOBACCO INC,Consumer Staples,
0003.HK,HONG KONG AND CHINA GAS LTD,Utilities,
3003.T,HULIC LTD,Real Estate,
3038.T,KOBE BUSSAN LTD,Consumer Staples,
3064.T,MONOTARO LTD,Industrials,
3092.T,ZOZO INC,Consumer Discretionary,
3141.T,WELCIA HOLDINGS LTD,Consumer Staples,
3231.T,NOMURA REAL ESTATE HOLDINGS INC,Real Estate,
3281.T,GLP J-REIT REIT,Real Estate,
3283.T,NIPPON PROLOGIS REIT INC,Real Estate,
3291.T,IIDA GROUP HOLDINGS LTD,Consumer Discretionary,
3349.T,COSMOS PHARMACEUTICAL CORP,Consumer Staples,
3382.T,SEVEN & I HOLDINGS LTD,Consumer Staples,
3391.T,TSURUHA HOLDINGS INC,Consumer Staples,
3402.T,TORAY INDUSTRIES INC,Materials,
3407.T,ASAHI KASEI CORP,Materials,
3436.T,SUMCO CORP,Information Technology,
3462.T,NOMURA REAL ESTATE MASTER FUND REI,Real Estate,
3626.T,TIS INC,Information Technology,
