Date,Rf
1990/11/30,0.57
1990/12/31,0.6
1991/01/31,0.52
1991/02/28,0.48
1991/03/31,0.44
1991/04/30,0.53
1991/05/31,0.47
1991/06/30,0.42
1991/07/31,0.49
1991/08/31,0.46
1991/09/30,0.46
1991/10/31,0.42
1991/11/30,0.39
1991/12/31,0.38
1992/01/31,0.34
1992/02/29,0.28
1992/03/31,0.34
1992/04/30,0.32
1992/05/31,0.28
1992/06/30,0.32
1992/07/31,0.31
1992/08/31,0.26
1992/09/30,0.26
1992/10/31,0.23
1992/11/30,0.23
1992/12/31,0.28
1993/01/31,0.23
1993/02/28,0.22
1993/03/31,0.25
1993/04/30,0.24
1993/05/31,0.22
1993/06/30,0.25
1993/07/31,0.24
1993/08/31,0.25
1993/09/30,0.26
1993/10/31,0.22
1993/11/30,0.25
1993/12/31,0.23
1994/01/31,0.25
1994/02/28,0.21
1994/03/31,0.27
1994/04/30,0.27
1994/05/31,0.32
1994/06/30,0.31
1994/07/31,0.28
1994/08/31,0.37
1994/09/30,0.37
1994/10/31,0.38
1994/11/30,0.37
1994/12/31,0.44
1995/01/31,0.42
1995/02/28,0.4
1995/03/31,0.46
1995/04/30,0.45
1995/05/31,0.54
1995/06/30,0.47
1995/07/31,0.45
1995/08/31,0.47
1995/09/30,0.43
1995/10/31,0.47
1995/11/30,0.42
1995/12/31,0.49
1996/01/31,0.43
1996/02/29,0.39
1996/03/31,0.39
1996/04/30,0.46
1996/05/31,0.42
1996/06/30,0.4
1996/07/31,0.45
1996/08/31,0.41
1996/09/30,0.44
1996/10/31,0.42
1996/11/30,0.41
1996/12/31,0.46
1997/01/31,0.45
1997/02/28,0.39
1997/03/31,0.43
1997/04/30,0.43
1997/05/31,0.49
1997/06/30,0.37
1997/07/31,0.43
1997/08/31,0.41
1997/09/30,0.44
1997/10/31,0.42
1997/11/30,0.39
1997/12/31,0.48
1998/01/31,0.43
1998/02/28,0.39
1998/03/31,0.39
1998/04/30,0.43
1998/05/31,0.4
1998/06/30,0.41
1998/07/31,0.4
1998/08/31,0.43
1998/09/30,0.46
1998/10/31,0.32
1998/11/30,0.31
1998/12/31,0.38
1999/01/31,0.35
1999/02/28,0.35
1999/03/31,0.43
1999/04/30,0.37
1999/05/31,0.34
1999/06/30,0.4
1999/07/31,0.38
1999/08/31,0.39
1999/09/30,0.39
1999/10/31,0.39
1999/11/30,0.36
1999/12/31,0.44
2000/01/31,0.41
2000/02/29,0.43
2000/03/31,0.47
2000/04/30,0.46
2000/05/31,0.5
2000/06/30,0.4
2000/07/31,0.48
2000/08/31,0.5
2000/09/30,0.51
2000/10/31,0.56
2000/11/30,0.51
2000/12/31,0.5
2001/01/31,0.54
2001/02/28,0.38
2001/03/31,0.42
2001/04/30,0.39
2001/05/31,0.32
2001/06/30,0.28
2001/07/31,0.3
2001/08/31,0.31
2001/09/30,0.28
2001/10/31,0.22
2001/11/30,0.17
2001/12/31,0.15
2002/01/31,0.14
2002/02/28,0.13
2002/03/31,0.13
2002/04/30,0.15
2002/05/31,0.14
2002/06/30,0.13
2002/07/31,0.15
2002/08/31,0.14
2002/09/30,0.14
2002/10/31,0.14
2002/11/30,0.12
2002/12/31,0.11
2003/01/31,0.1
2003/02/28,0.09
2003/03/31,0.1
2003/04/30,0.1
2003/05/31,0.09
2003/06/30,0.1
2003/07/31,0.07
2003/08/31,0.07
2003/09/30,0.08
2003/10/31,0.07
2003/11/30,0.07
2003/12/31,0.08
2004/01/31,0.07
2004/02/29,0.06
2004/03/31,0.09
2004/04/30,0.08
2004/05/31,0.06
2004/06/30,0.08
2004/07/31,0.1
2004/08/31,0.11
2004/09/30,0.11
2004/10/31,0.11
2004/11/30,0.15
2004/12/31,0.16
2005/01/31,0.16
2005/02/28,0.16
2005/03/31,0.21
2005/04/30,0.21
2005/05/31,0.24
2005/06/30,0.23
2005/07/31,0.24
2005/08/31,0.3
2005/09/30,0.29
2005/10/31,0.27
2005/11/30,0.31
2005/12/31,0.32
2006/01/31,0.35
2006/02/28,0.34
2006/03/31,0.37
2006/04/30,0.36
2006/05/31,0.43
2006/06/30,0.4
2006/07/31,0.4
2006/08/31,0.42
2006/09/30,0.41
2006/10/31,0.41
2006/11/30,0.42
2006/12/31,0.4
2007/01/31,0.44
2007/02/28,0.38
2007/03/31,0.43
2007/04/30,0.44
2007/05/31,0.41
2007/06/30,0.4
2007/07/31,0.4
2007/08/31,0.42
2007/09/30,0.32
2007/10/31,0.32
2007/11/30,0.34
2007/12/31,0.27
2008/01/31,0.21
2008/02/29,0.13
2008/03/31,0.17
2008/04/30,0.18
2008/05/31,0.18
2008/06/30,0.17
2008/07/31,0.15
2008/08/31,0.13
2008/09/30,0.15
2008/10/31,0.08
2008/11/30,0.03
2008/12/31,0
2009/01/31,0
2009/02/28,0.01
2009/03/31,0.02
2009/04/30,0.01
2009/05/31,0
2009/06/30,0.01
2009/07/31,0.01
2009/08/31,0.01
2009/09/30,0.01
2009/10/31,0
2009/11/30,0
2009/12/31,0.01
2010/01/31,0
2010/02/28,0
2010/03/31,0.01
2010/04/30,0.01
2010/05/31,0.01
2010/06/30,0.01
2010/07/31,0.01
2010/08/31,0.01
2010/09/30,0.01
2010/10/31,0.01
2010/11/30,0.01
2010/12/31,0.01
2011/01/31,0.01
2011/02/28,0.01
2011/03/31,0.01
2011/04/30,0
2011/05/31,0
2011/06/30,0
2011/07/31,0
2011/08/31,0.01
2011/09/30,0
2011/10/31,0
2011/11/30,0
2011/12/31,0
2012/01/31,0
2012/02/29,0
2012/03/31,0
2012/04/30,0
2012/05/31,0.01
2012/06/30,0
2012/07/31,0
2012/08/31,0.01
2012/09/30,0.01
2012/10/31,0.01
2012/11/30,0.01
2012/12/31,0.01
2013/01/31,0
2013/02/28,0
2013/03/31,0
2013/04/30,0
2013/05/31,0
2013/06/30,0
2013/07/31,0
2013/08/31,0
2013/09/30,0
2013/10/31,0
2013/11/30,0
2013/12/31,0
2014/01/31,0
2014/02/28,0
2014/03/31,0
2014/04/30,0
2014/05/31,0
2014/06/30,0
2014/07/31,0
2014/08/31,0
2014/09/30,0
2014/10/31,0
2014/11/30,0
2014/12/31,0
2015/01/31,0
2015/02/28,0
2015/03/31,0
2015/04/30,0
2015/05/31,0
2015/06/30,0
2015/07/31,0
2015/08/31,0
2015/09/30,0
2015/10/31,0
2015/11/30,0
2015/12/31,0.01
2016/01/31,0.01
2016/02/29,0.02
2016/03/31,0.02
2016/04/30,0.01
2016/05/31,0.01
2016/06/30,0.02
2016/07/31,0.02
2016/08/31,0.02
2016/09/30,0.02
2016/10/31,0.02
2016/11/30,0.01
2016/12/31,0.03
2017/01/31,0.04
2017/02/28,0.04
2017/03/31,0.03
