Date,Returns,Stock
2007/01/31,0.023031171,AAPL
2007/02/28,-0.01306427,AAPL
2007/03/31,0.098096953,AAPL
2007/04/30,0.074157966,AAPL
2007/05/31,0.21432848,AAPL
2007/06/30,0.007013747,AAPL
2007/07/31,0.079646058,AAPL
2007/08/31,0.051001825,AAPL
2007/09/30,0.108246656,AAPL
2007/10/31,0.237701354,AAPL
2007/11/30,-0.040695001,AAPL
2007/12/31,0.087037715,AAPL
2008/01/31,-0.316639729,AAPL
2008/02/29,-0.076388943,AAPL
2008/03/31,0.147816349,AAPL
2008/04/30,0.212195122,AAPL
2008/05/31,0.085081851,AAPL
2008/06/30,-0.112900606,AAPL
2008/07/31,-0.050704682,AAPL
2008/08/31,0.066561783,AAPL
2008/09/30,-0.329558159,AAPL
2008/10/31,-0.053404958,AAPL
2008/11/30,-0.138674561,AAPL
2008/12/31,-0.07899009,AAPL
2009/01/31,0.056004926,AAPL
2009/02/28,-0.009098057,AAPL
2009/03/31,0.177023886,AAPL
2009/04/30,0.197012961,AAPL
2009/05/31,0.079313225,AAPL
2009/06/30,0.048744659,AAPL
2009/07/31,0.147159916,AAPL
2009/08/31,0.029499995,AAPL
2009/09/30,0.101896463,AAPL
2009/10/31,0.016994874,AAPL
2009/11/30,0.060530503,AAPL
2009/12/31,0.054124275,AAPL
2010/01/31,-0.088596693,AAPL
2010/02/28,0.065396165,AAPL
2010/03/31,0.148470338,AAPL
2010/04/30,0.111021313,AAPL
2010/05/31,-0.016124692,AAPL
2010/06/30,-0.020826907,AAPL
2010/07/31,0.022740859,AAPL
2010/08/31,-0.055004844,AAPL
2010/09/30,0.167215168,AAPL
2010/10/31,0.06072245,AAPL
2010/11/30,0.033789593,AAPL
2010/12/31,0.036670416,AAPL
2011/01/31,0.051959288,AAPL
2011/02/28,0.040934859,AAPL
2011/03/31,-0.01330652,AAPL
2011/04/30,0.004648349,AAPL
2011/05/31,-0.006569,AAPL
2011/06/30,-0.03495963,AAPL
2011/07/31,0.163285373,AAPL
2011/08/31,-0.01446932,AAPL
2011/09/30,-0.009120973,AAPL
2011/10/31,0.061523195,AAPL
2011/11/30,-0.055783416,AAPL
2011/12/31,0.059654652,AAPL
2012/01/31,0.12711101,AAPL
2012/02/29,0.188310563,AAPL
2012/03/31,0.105283599,AAPL
2012/04/30,-0.025969504,AAPL
2012/05/31,-0.01070236,AAPL
2012/06/30,0.010852792,AAPL
2012/07/31,0.045821904,AAPL
2012/08/31,0.089200374,AAPL
2012/09/30,0.002796001,AAPL
2012/10/31,-0.107600079,AAPL
2012/11/30,-0.016864906,AAPL
2012/12/31,-0.090742907,AAPL
2013/01/31,-0.144089275,AAPL
2013/02/28,-0.030933702,AAPL
2013/03/31,0.002854554,AAPL
2013/04/30,0.000271043,AAPL
2013/05/31,0.015696391,AAPL
2013/06/30,-0.118293251,AAPL
2013/07/31,0.141225055,AAPL
2013/08/31,0.076657993,AAPL
2013/09/30,-0.021489232,AAPL
2013/10/31,0.096381602,AAPL
2013/11/30,0.063841718,AAPL
2013/12/31,0.00890167,AAPL
2014/01/31,-0.107696691,AAPL
2014/02/28,0.051218635,AAPL
2014/03/31,0.019952872,AAPL
2014/04/30,0.099396237,AAPL
2014/05/31,0.072717771,AAPL
2014/06/30,0.027661921,AAPL
2014/07/31,0.028731303,AAPL
2014/08/31,0.072175732,AAPL
2014/09/30,-0.017073171,AAPL
2014/10/31,0.071960298,AAPL
2014/11/30,0.101203704,AAPL
2014/12/31,-0.071891062,AAPL
2015/01/31,0.061424246,AAPL
2015/02/28,0.096449331,AAPL
2015/03/31,-0.031371694,AAPL
2015/04/30,0.005786386,AAPL
2015/05/31,0.040990811,AAPL
2015/06/30,-0.03722751,AAPL
2015/07/31,-0.0329267,AAPL
2015/08/31,-0.070403955,AAPL
2015/09/30,-0.021816246,AAPL
2015/10/31,0.083408846,AAPL
2015/11/30,-0.010041808,AAPL
2015/12/31,-0.11022823,AAPL
2016/01/31,-0.07524233,AAPL
2016/02/29,-0.006677543,AAPL
2016/03/31,0.127210585,AAPL
2016/04/30,-0.139921099,AAPL
2016/05/31,0.065287009,AAPL
2016/06/30,-0.042659724,AAPL
2016/07/31,0.090062762,AAPL
2016/08/31,0.018136455,AAPL
2016/09/30,0.065504279,AAPL
2016/10/31,0.00433433,AAPL
2016/11/30,-0.026598591,AAPL
2016/12/31,0.047955159,AAPL
