Symbol,Weight
A,0.14
AAL,0.03
AAP,0.03
AAPL,6.2
ABBV,0.56
ABC,0.05
ABMD,0.04
ABT,0.58
ACN,0.56
ADBE,0.83
ADI,0.23
ADM,0.09
ADP,0.23
ADSK,0.18
AEE,0.06
AEP,0.12
AES,0.04
AFL,0.09
AIG,0.12
AIZ,0.03
AJG,0.08
AKAM,0.05
ALB,0.07
ALGN,0.13
ALK,0.02
ALL,0.11
ALLE,0.03
AMAT,0.32
AMCR,0.05
AMD,0.35
AME,0.08
AMGN,0.34
AMP,0.08
AMT,0.35
AMZN,3.87
ANET,0.05
ANSS,0.08
ANTM,0.24
AON,0.17
AOS,0.02
APA,0.02
APD,0.16
APH,0.12
APTV,0.11
ARE,0.07
ATO,0.03
ATVI,0.17
AVB,0.08
AVGO,0.53
AVY,0.05
AWK,0.09
AXP,0.28
AZO,0.09
BA,0.31
BAC,0.82
BAX,0.1
BBWI,0.05
BBY,0.07
BDX,0.19
BEN,0.02
BF-B,0.03
BIIB,0.13
BIO,0.05
BK,0.12
BKNG,0.25
BKR,0.04
BLK,0.35
BLL,0.08
BMY,0.39
BR,0.05
BRK-B,1.41
BSX,0.17
BWA,0.03
BXP,0.04
C,0.39
CAG,0.04
CAH,0.04
CARR,0.12
CAT,0.3
CB,0.22
CBOE,0.03
CBRE,0.08
CCI,0.22
CCL,0.05
CDNS,0.12
CDW,0.07
CE,0.05
CERN,0.06
CF,0.03
CFG,0.05
CHD,0.05
CHRW,0.03
CHTR,0.29
CI,0.19
CINF,0.05
CL,0.17
CLX,0.05
CMA,0.03
CMCSA,0.72
CME,0.19
CMG,0.14
CMI,0.09
CMS,0.05
CNC,0.1
CNP,0.04
COF,0.2
COG,0.02
COO,0.06
COP,0.19
COST,0.52
CPB,0.02
CPRT,0.08
CRL,0.06
CRM,0.67
CSCO,0.65
CSX,0.19
CTAS,0.09
CTLT,0.06
CTSH,0.1
CTVA,0.08
CTXS,0.03
CVS,0.3
CVX,0.49
CZR,0.06
D,0.16
DAL,0.07
DD,0.1
DE,0.31
DFS,0.1
DG,0.14
DGX,0.05
DHI,0.08
DHR,0.54
DIS,0.86
DISCA,0.01
DISCK,0.02
DISH,0.03
DLR,0.12
DLTR,0.05
DOV,0.06
DOW,0.12
DPZ,0.05
DRE,0.05
DRI,0.05
DTE,0.06
DUK,0.21
DVA,0.02
DVN,0.05
DXC,0.02
DXCM,0.13
EA,0.11
EBAY,0.13
ECL,0.15
ED,0.07
EFX,0.09
EIX,0.06
EL,0.21
EMN,0.04
EMR,0.17
ENPH,0.06
EOG,0.1
EQIX,0.2
EQR,0.08
ES,0.08
ESS,0.06
ETN,0.18
ETR,0.06
ETSY,0.07
EVRG,0.04
EW,0.19
EXC,0.13
EXPD,0.06
EXPE,0.05
EXR,0.07
F,0.13
FANG,0.04
FAST,0.08
FB,2.37
FBHS,0.03
FCX,0.14
FDX,0.17
FE,0.05
FFIV,0.03
FIS,0.21
FISV,0.18
FITB,0.07
FLT,0.06
FMC,0.03
FOX,0.01
FOXA,0.03
