Ticker,Name,Weight,Market Value,Sector,Country
PBF,PBF Energy Inc. Class A,2.584150,,Oil & Gas Refining & Marketing,
TPL,Texas Pacific Land Corporation,2.279492,,Oil & Gas Exploration & Production,
PR,Permian Resources Corporation Class A,2.277510,,Oil & Gas Exploration & Production,
DINO,HF Sinclair Corporation,2.215047,,Oil & Gas Refining & Marketing,
PSX,Phillips 66,2.213482,,Oil & Gas Refining & Marketing,
MUR,Murphy Oil Corporation,2.204435,,Oil & Gas Exploration & Production,
DEN,Denbury Inc.,2.201816,,Oil & Gas Exploration & Production,
MPC,Marathon Petroleum Corporation,2.192427,,Oil & Gas Refining & Marketing,
CHRD,Chord Energy Corporation,2.172526,,Oil & Gas Exploration & Production,
MTDR,Matador Resources Company,2.151764,,Oil & Gas Exploration & Production,
COP,ConocoPhillips,2.134630,,Oil & Gas Exploration & Production,
FANG,Diamondback Energy Inc.,2.129982,,Oil & Gas Exploration & Production,
CLR,Continental Resources Inc.,2.122985,,Oil & Gas Exploration & Production,
MRO,Marathon Oil Corporation,2.120385,,Oil & Gas Exploration & Production,
APA,APA Corp.,2.119377,,Oil & Gas Exploration & Production,
XOM,Exxon Mobil Corporation,2.117615,,Integrated Oil & Gas,
CNX,CNX Resources Corporation,2.115815,,Oil & Gas Exploration & Production,
VLO,Valero Energy Corporation,2.105744,,Oil & Gas Refining & Marketing,
OXY,Occidental Petroleum Corporation,2.094437,,Integrated Oil & Gas,
HES,Hess Corporation,2.083408,,Oil & Gas Exploration & Production,
PXD,Pioneer Natural Resources Company,2.068878,,Oil & Gas Exploration & Production,
DVN,Devon Energy Corporation,2.064611,,Oil & Gas Exploration & Production,
CVX,Chevron Corporation,2.062245,,Integrated Oil & Gas,
PDCE,PDC Energy Inc.,2.049171,,Oil & Gas Exploration & Production,
EOG,EOG Resources Inc.,2.037561,,Oil & Gas Exploration & Production,
CIVI,Civitas Resources Inc.,2.024379,,Oil & Gas Exploration & Production,
CPE,Callon Petroleum Company,2.006177,,Oil & Gas Exploration & Production,
CTRA,Coterra Energy Inc.,2.004840,,Oil & Gas Exploration & Production,
CRK,Comstock Resources Inc.,1.952806,,Oil & Gas Exploration & Production,
OVV,Ovintiv Inc,1.940133,,Oil & Gas Exploration & Production,
KOS,Kosmos Energy Ltd.,1.874048,,Oil & Gas Exploration & Production,
SM,SM Energy Company,1.863971,,Oil & Gas Exploration & Production,
DK,Delek US Holdings Inc,1.857922,,Oil & Gas Refining & Marketing,
RRC,Range Resources Corporation,1.829181,,Oil & Gas Exploration & Production,
AR,Antero Resources Corporation,1.810793,,Oil & Gas Exploration & Production,
SWN,Southwestern Energy Company,1.786148,,Oil & Gas Exploration & Production,
LPI,Laredo Petroleum Inc.,1.764895,,Oil & Gas Exploration & Production,
EQT,EQT Corporation,1.753132,,Oil & Gas Exploration & Production,
MGY,Magnolia Oil & Gas Corp. Class A,1.675487,,Oil & Gas Exploration & Production,
VTNR,Vertex Energy Inc.,1.624166,,Oil & Gas Refining & Marketing,
NOG,Northern Oil and Gas Inc.,1.463870,,Oil & Gas Exploration & Production,
CRC,California Resources Corporation,1.434701,,Oil & Gas Exploration & Production,
CVI,CVR Energy Inc.,1.422873,,Oil & Gas Refining & Marketing,
WTI,W&T Offshore Inc.,1.332317,,Oil & Gas Exploration & Production,
LFG,Archaea Energy Inc. Class A,1.239854,,Oil & Gas Refining & Marketing,
TELL,Tellurian Inc.,1.233613,,Oil & Gas Exploration & Production,
TALO,Talos Energy Inc.,1.191949,,Oil & Gas Exploration & Production,
ESTE,Earthstone Energy Inc. Class A,1.191325,,Oil & Gas Exploration & Production,
GEVO,Gevo Inc.,1.108543,,Oil & Gas Refining & Marketing,
GPRE,Green Plains Inc.,1.061003,,Oil & Gas Refining & Marketing,
CLNE,Clean Energy Fuels Corp.,0.822276,,Oil & Gas Refining & Marketing,
ROCC,Ranger Oil Corporation Class A,0.789379,,Oil & Gas Exploration & Production,
PARR,Par Pacific Holdings Inc,0.684800,,Oil & Gas Refining & Marketing,
MNRL,Brigham Minerals Inc. Class A,0.683897,,Oil & Gas Exploration & Production,
GPOR,Gulfport Energy Corp,0.630291,,Oil & Gas Exploration & Production,
SBOW,SilverBow Resources Inc,0.533377,,Oil & Gas Exploration & Production,
INT,World Fuel Services Corporation,0.530042,,Oil & Gas Refining & Marketing,
BRY,Berry Corporation,0.324496,,Oil & Gas Exploration & Production,
CRGY,Crescent Energy Company Class A,0.222607,,Oil & Gas Exploration & Production,
REX,REX American Resources Corporation,0.179659,,Oil & Gas Refining & Marketing,
