Ticker,Name,Weight,Market Value,Sector,Country
AAPL,APPLE INC,4.12,USD 255246065.48,Information Technology,US
MSFT,MICROSOFT CORP,3.61,USD 223839080.24,Information Technology,US
AMZN,AMAZON COM INC,2.61,USD 161916201.36,Consumer Discretionary,US
FB,FACEBOOK CLASS A INC,1.49,USD 92256159.84,Communication,US
GOOGL,ALPHABET INC CLASS A,1.44,USD 89456743.71,Communication,US
GOOG,ALPHABET INC CLASS C,1.4,USD 86798338.56,Communication,US
TSLA,TESLA INC,1.02,USD 63519953.20,Consumer Discretionary,US
NVDA,NVIDIA CORP,0.92,USD 56825673.96,Information Technology,US
JPM,JPMORGAN CHASE & CO,0.8,USD 49409500.32,Financials,US
JNJ,JOHNSON & JOHNSON,0.73,USD 45022030.56,Health Care,US
UNH,UNITEDHEALTH GROUP INC,0.66,USD 40822182.96,Health Care,US
V,VISA INC CLASS A,0.63,USD 39062230.73,Information Technology,US
ASML.AS,ASML HOLDING NV,0.61,USD 38032807.80,Information Technology,NL
BRKB,BERKSHIRE HATHAWAY INC CLASS B,0.61,USD 37874763.36,Financials,US
NESN.SW,NESTLE SA,0.59,USD 36721007.76,Consumer Staples,CH
PG,PROCTER & GAMBLE,0.59,USD 36464737.76,Consumer Staples,US
HD,HOME DEPOT INC,0.59,USD 36379667.99,Consumer Discretionary,US
DIS,WALT DISNEY,0.55,USD 34282003.41,Communication,US
PYPL,PAYPAL HOLDINGS INC,0.52,USD 32464481.21,Information Technology,US
ADBE,ADOBE INC,0.52,USD 32308962.84,Information Technology,US
MA,MASTERCARD INC CLASS A,0.51,USD 31627709.75,Information Technology,US
BAC,BANK OF AMERICA CORP,0.51,USD 31553130.78,Financials,US
ROG.SW,ROCHE HOLDING PAR AG,0.44,USD 27051768.26,Health Care,CH
CMCSA,COMCAST CORP CLASS A,0.43,USD 26489667.00,Communication,US
NFLX,NETFLIX INC,0.43,USD 26435485.98,Communication,US
PFE,PFIZER INC,0.41,USD 25616229.98,Health Care,US
CRM,SALESFORCE.COM INC,0.41,USD 25583980.00,Information Technology,US
CSCO,CISCO SYSTEMS INC,0.4,USD 25021504.68,Information Technology,US
XOM,EXXON MOBIL CORP,0.4,USD 24644425.26,Energy,US
KO,COCA-COLA,0.38,USD 23585718.64,Consumer Staples,US
ABT,ABBOTT LABORATORIES,0.38,USD 23339084.34,Health Care,US
VZ,VERIZON COMMUNICATIONS INC,0.38,USD 23264882.67,Communication,US
WMT,WALMART INC,0.37,USD 23166016.65,Consumer Staples,US
INTC,INTEL CORPORATION CORP,0.37,USD 23162250.80,Information Technology,US
ACN,ACCENTURE PLC CLASS A,0.36,USD 22572908.91,Information Technology,IE
TMO,THERMO FISHER SCIENTIFIC INC,0.36,USD 22458726.24,Health Care,US
PEP,PEPSICO INC,0.35,USD 21977601.28,Consumer Staples,US
AVGO,BROADCOM INC,0.34,USD 21123115.86,Information Technology,US
DHR,DANAHER CORP,0.34,USD 21091484.70,Health Care,US
MC.PA,LVMH,0.34,USD 20948088.26,Consumer Discretionary,FR
COST,COSTCO WHOLESALE CORP,0.34,USD 20892723.31,Consumer Staples,US
NKE,NIKE INC CLASS B,0.33,USD 20418236.73,Consumer Discretionary,US
T,AT&T INC,0.33,USD 20215564.65,Communication,US
WFC,WELLS FARGO,0.32,USD 20040555.04,Financials,US
7203.T,TOYOTA MOTOR CORP,0.32,USD 19752903.61,Consumer Discretionary,JP
ABBV,ABBVIE INC,0.32,USD 19686130.36,Health Care,US
NOVN.SW,NOVARTIS AG,0.31,USD 19357542.29,Health Care,CH
LLY,ELI LILLY,0.31,USD 19338119.01,Health Care,US
CVX,CHEVRON CORP,0.31,USD 19189317.44,Energy,US
MRK,MERCK & CO INC,0.3,USD 18879123.33,Health Care,US
MCD,MCDONALDS CORP,0.3,USD 18499311.66,Consumer Discretionary,US
TXN,TEXAS INSTRUMENT INC,0.3,USD 18486000.00,Information Technology,US
MDT,MEDTRONIC PLC,0.3,USD 18404670.00,Health Care,IE
AZN.L,ASTRAZENECA PLC,0.29,USD 17824327.75,Health Care,GB
NOVO-B.CO,NOVO NORDISK CLASS B,0.29,USD 17738220.00,Health Care,DK
SHOP.TO,SHOPIFY SUBORDINATE VOTING INC CLA,0.28,USD 17335976.44,Information Technology,CA
NEE,NEXTERA ENERGY INC,0.28,USD 17094604.40,Utilities,US
LIN,LINDE PLC,0.28,USD 17086527.72,Materials,IE
ORCL,ORACLE CORP,0.27,USD 16898289.41,Information Technology,US
PM,PHILIP MORRIS INTERNATIONAL INC,0.27,USD 16774368.00,Consumer Staples,US
INTU,INTUIT INC,0.26,USD 16198150.43,Information Technology,US
QCOM,QUALCOMM INC,0.26,USD 16033213.44,Information Technology,US
HON,HONEYWELL INTERNATIONAL INC,0.26,USD 15886083.71,Industrials,US
SAP.DE,SAP,0.25,USD 15746147.45,Information Technology,DE
RY.TO,ROYAL BANK OF CANADA,0.25,USD 15198422.04,Financials,CA
MRNA,MODERNA INC,0.24,USD 15118773.54,Health Care,US
LOW,LOWES COMPANIES INC,0.24,USD 14936744.06,Consumer Discretionary,US
MS,MORGAN STANLEY,0.24,USD 14905972.48,Financials,US
C,CITIGROUP INC,0.24,USD 14884182.85,Financials,US
ULVR.L,UNILEVER PLC,0.24,USD 14598430.33,Consumer Staples,GB
BMY,BRISTOL MYERS SQUIBB,0.23,USD 14517672.00,Health Care,US
BLK,BLACKROCK INC,0.23,USD 14387934.05,Financials,US
UNP,UNION PACIFIC CORP,0.23,USD 14271560.25,Industrials,US
1299.HK,AIA GROUP LTD,0.23,USD 14271533.49,Financials,HK
6758.T,SONY GROUP CORP,0.23,USD 14252802.05,Consumer Discretionary,JP
UPS,UNITED PARCEL SERVICE INC CLASS B,0.23,USD 14074913.25,Industrials,US
GS,GOLDMAN SACHS GROUP INC,0.22,USD 13895009.55,Financials,US
CBA.AX,COMMONWEALTH BANK OF AUSTRALIA,0.22,USD 13780725.51,Financials,AU
SBUX,STARBUCKS CORP,0.22,USD 13766888.32,Consumer Discretionary,US
AMT,AMERICAN TOWER REIT CORP,0.22,USD 13590429.94,Real Estate,US
SIE.DE,SIEMENS N AG,0.22,USD 13561748.24,Industrials,DE
AMD,ADVANCED MICRO DEVICES INC,0.22,USD 13524086.40,Information Technology,US
AMAT,APPLIED MATERIAL INC,0.21,USD 13232262.39,Information Technology,US
RTX,RAYTHEON TECHNOLOGIES CORP,0.21,USD 13213155.69,Industrials,US
6861.T,KEYENCE CORP,0.21,USD 13209672.90,Information Technology,JP
NOW,SERVICENOW INC,0.21,USD 13046260.75,Information Technology,US
AMGN,AMGEN INC,0.21,USD 12838913.67,Health Care,US
ISRG,INTUITIVE SURGICAL INC,0.21,USD 12796119.28,Health Care,US
IBM,INTERNATIONAL BUSINESS MACHINES CO,0.2,USD 12641608.00,Information Technology,US
TGT,TARGET CORP,0.2,USD 12548796.00,Consumer Discretionary,US
BA,BOEING,0.2,USD 12224464.30,Industrials,US
OR.PA,LOREAL SA,0.2,USD 12142146.82,Consumer Staples,FR
TD.TO,TORONTO DOMINION,0.19,USD 12000770.84,Financials,CA
TTE.PA,TOTALENERGIES,0.19,USD 11913897.82,Energy,FR
GE,GENERAL ELECTRIC,0.19,USD 11600983.12,Industrials,US
