Name ,Weight (%),Market Value,Sector,ISIN,Country
APPLE INC,4.12,"USD 255,246,065.48",Information Technology,US0378331005,US
MICROSOFT CORP,3.61,"USD 223,839,080.24",Information Technology,US5949181045,US
AMAZON COM INC,2.61,"USD 161,916,201.36",Consumer Discretionary,US0231351067,US
FACEBOOK CLASS A INC,1.49,"USD 92,256,159.84",Communication,US30303M1027,US
ALPHABET INC CLASS A,1.44,"USD 89,456,743.71",Communication,US02079K3059,US
ALPHABET INC CLASS C,1.4,"USD 86,798,338.56",Communication,US02079K1079,US
TESLA INC,1.02,"USD 63,519,953.20",Consumer Discretionary,US88160R1014,US
NVIDIA CORP,0.92,"USD 56,825,673.96",Information Technology,US67066G1040,US
JPMORGAN CHASE & CO,0.8,"USD 49,409,500.32",Financials,US46625H1005,US
JOHNSON & JOHNSON,0.73,"USD 45,022,030.56",Health Care,US4781601046,US
UNITEDHEALTH GROUP INC,0.66,"USD 40,822,182.96",Health Care,US91324P1021,US
VISA INC CLASS A,0.63,"USD 39,062,230.73",Information Technology,US92826C8394,US
ASML HOLDING NV,0.61,"USD 38,032,807.80",Information Technology,NL0010273215,NL
BERKSHIRE HATHAWAY INC CLASS B,0.61,"USD 37,874,763.36",Financials,US0846707026,US
NESTLE SA,0.59,"USD 36,721,007.76",Consumer Staples,CH0038863350,CH
PROCTER & GAMBLE,0.59,"USD 36,464,737.76",Consumer Staples,US7427181091,US
HOME DEPOT INC,0.59,"USD 36,379,667.99",Consumer Discretionary,US4370761029,US
WALT DISNEY,0.55,"USD 34,282,003.41",Communication,US2546871060,US
PAYPAL HOLDINGS INC,0.52,"USD 32,464,481.21",Information Technology,US70450Y1038,US
ADOBE INC,0.52,"USD 32,308,962.84",Information Technology,US00724F1012,US
MASTERCARD INC CLASS A,0.51,"USD 31,627,709.75",Information Technology,US57636Q1040,US
BANK OF AMERICA CORP,0.51,"USD 31,553,130.78",Financials,US0605051046,US
ROCHE HOLDING PAR AG,0.44,"USD 27,051,768.26",Health Care,CH0012032048,CH
COMCAST CORP CLASS A,0.43,"USD 26,489,667.00",Communication,US20030N1019,US
NETFLIX INC,0.43,"USD 26,435,485.98",Communication,US64110L1061,US
PFIZER INC,0.41,"USD 25,616,229.98",Health Care,US7170811035,US
SALESFORCE.COM INC,0.41,"USD 25,583,980.00",Information Technology,US79466L3024,US
CISCO SYSTEMS INC,0.4,"USD 25,021,504.68",Information Technology,US17275R1023,US
EXXON MOBIL CORP,0.4,"USD 24,644,425.26",Energy,US30231G1022,US
COCA-COLA,0.38,"USD 23,585,718.64",Consumer Staples,US1912161007,US
ABBOTT LABORATORIES,0.38,"USD 23,339,084.34",Health Care,US0028241000,US
VERIZON COMMUNICATIONS INC,0.38,"USD 23,264,882.67",Communication,US92343V1044,US
WALMART INC,0.37,"USD 23,166,016.65",Consumer Staples,US9311421039,US
INTEL CORPORATION CORP,0.37,"USD 23,162,250.80",Information Technology,US4581401001,US
ACCENTURE PLC CLASS A,0.36,"USD 22,572,908.91",Information Technology,IE00B4BNMY34,IE
THERMO FISHER SCIENTIFIC INC,0.36,"USD 22,458,726.24",Health Care,US8835561023,US
PEPSICO INC,0.35,"USD 21,977,601.28",Consumer Staples,US7134481081,US
BROADCOM INC,0.34,"USD 21,123,115.86",Information Technology,US11135F1012,US
DANAHER CORP,0.34,"USD 21,091,484.70",Health Care,US2358511028,US
LVMH,0.34,"USD 20,948,088.26",Consumer Discretionary,FR0000121014,FR
COSTCO WHOLESALE CORP,0.34,"USD 20,892,723.31",Consumer Staples,US22160K1051,US
NIKE INC CLASS B,0.33,"USD 20,418,236.73",Consumer Discretionary,US6541061031,US
AT&T INC,0.33,"USD 20,215,564.65",Communication,US00206R1023,US
WELLS FARGO,0.32,"USD 20,040,555.04",Financials,US9497461015,US
TOYOTA MOTOR CORP,0.32,"USD 19,752,903.61",Consumer Discretionary,JP3633400001,JP
ABBVIE INC,0.32,"USD 19,686,130.36",Health Care,US00287Y1091,US
NOVARTIS AG,0.31,"USD 19,357,542.29",Health Care,CH0012005267,CH
ELI LILLY,0.31,"USD 19,338,119.01",Health Care,US5324571083,US
CHEVRON CORP,0.31,"USD 19,189,317.44",Energy,US1667641005,US
MERCK & CO INC,0.3,"USD 18,879,123.33",Health Care,US58933Y1055,US
MCDONALDS CORP,0.3,"USD 18,499,311.66",Consumer Discretionary,US5801351017,US
TEXAS INSTRUMENT INC,0.3,"USD 18,486,000.00",Information Technology,US8825081040,US
MEDTRONIC PLC,0.3,"USD 18,404,670.00",Health Care,IE00BTN1Y115,IE
ASTRAZENECA PLC,0.29,"USD 17,824,327.75",Health Care,GB0009895292,GB
NOVO NORDISK CLASS B,0.29,"USD 17,738,220.00",Health Care,DK0060534915,DK
SHOPIFY SUBORDINATE VOTING INC CLA,0.28,"USD 17,335,976.44",Information Technology,CA82509L1076,CA
NEXTERA ENERGY INC,0.28,"USD 17,094,604.40",Utilities,US65339F1012,US
LINDE PLC,0.28,"USD 17,086,527.72",Materials,IE00BZ12WP82,IE
